10,[CVE-2021-25913](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25913),set-or-get,"SetOrGet(input, field, def)",Sets or gets an object field value.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-25913](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25913),
11,[CVE-2021-25912](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25912),dotty,"put(obj,path,val)",copies the property to the object with the given value,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-25912](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25912),
12,[CVE-2021-23329](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-23329),nested-object-assign,assign () using JSON.parse,assigns value to the object passed,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-23329](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-23329),
13,[CVE-2020-8268](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-8268),json8-merge-patch,mergePatch.apply,patches the given object properties with another object/patch,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-8268](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-8268),
14,[CVE-2020-8158](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-8158),TypeORM,deepmerge(),,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-8158](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-8158),
15,[CVE-2020-8147](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-8147),utils-extend,extend(),,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-8147](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-8147),
16,[CVE-2020-28442](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28442),js-data,"deepFillIn({}, source)","The deepFillIn function can be used to 'fill missing properties recursively',",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28442](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28442),
17,[CVE-2020-7771](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7771),asciitable.js,"any_dunc({},b);",:copies properties to another object.Generate a ASCII Table from a bidimensional array of strings,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7771](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7771),
18,[CVE-2020-7768](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7768),gprc/gprc-js,loadPackageDefinition,adds the property to inheritence chain,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7768](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7768),
19,[CVE-2020-7766](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7766),json-ptr,set(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7766](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7766),
20,[CVE-2020-7737](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7737),safetydance,set(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7737](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7737),
21,[CVE-2020-7736](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7736),bmoor,set(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7736](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7736),
22,[CVE-2020-7727](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7727),gedi,set(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7727](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7727),
23,[CVE-2020-7725](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7725),worksmith,setValue(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7725](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7725),
24,[CVE-2020-7724](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7724),tinyConf,set(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7724](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7724),
25,[CVE-2020-7723](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7723),promisehelpers,insert(),Places a value in an object at an arbitrary depth specified by a keyPath.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7723](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7723),
26,[CVE-2020-7722](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7722),nodee-utils,deepset(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7722](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7722),
27,[CVE-2020-7721](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7721),node-oojs,setpath(),sets the path value to specfied value,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7721](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7721),
28,[CVE-2020-7720](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7720),node-forge,setpath(),sets the path value to specfied value,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7720](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7720),
29,[CVE-2020-7719](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7719),locutus,parse_str(),Parses string as if it were the query string passed via a URL and sets variables in the current scope,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7719](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7719),
30,),gammautils,deepMerge,,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=),
31,[CVE-2020-7717](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7717),dot-prop,create,creates a object with given properites and property values,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7717](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7717),
32,[CVE-2020-7716](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7716),deeps,set(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7716](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7716),
33,[CVE-2020-7714](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7714),confucious,set(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7714](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7714),
34,[CVE-2020-7713](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7713),arr-flatten-unflatten,"unflatten(obj, [delimiter])",Unflats an object back to its original nested form,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7713](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7713),
35,[CVE-2020-7704](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7704),linux-cmdline,linuxCmdline(),Parser for the Linux kernel command line arguments,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7704](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7704),
36,[CVE-2020-7703](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7703),nis-utils,setValue (),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7703](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7703),
37,[CVE-2020-7702](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7702),Templ8,parse(),an Object of values you want to substitute and returns a String of the parsed Templ8.,developed,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7702](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7702),
38,[CVE-2020-7701](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7701),madlib-object-utils,setValue (),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7701](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7701),
39,[CVE-2020-7700](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7700),phpjs,parse_str(),Parses string as if it were the query string passed via a URL and sets variables in the current scope,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7700](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7700),
40,[CVE-2020-7679](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7679),casperjs,mergeObjects,Merges two objects recursively.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7679](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7679),
41,[CVE-2020-7643](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7643),paypal-adaptive,PayPal (),creates a object with given properites and property values,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7643](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7643),
42,[CVE-2020-7637](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7637),class-transformer,".classToPlainFromExist(payload,{});","This method transforms your class object back to plain javascript object, that can be JSON.stringify later.",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7637](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7637),
43,[CVE-2020-7600](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7600),querymen,"handler(type, name, fn)",,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7600](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7600),
44,[CVE-2020-28503](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28503),copy-props,copyprops(),Copy source to destination simply,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28503](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28503),
45,[CVE-2020-28499](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28499),merge,recursive(),recursively merges objects properties to object,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28499](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28499),
46,[CVE-2020-28495](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28495),total.js,set(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28495](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28495),
47,[CVE-2020-28480](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28480),jointjs,setByPath(),Set a value at the path in a nested object,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28480](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28480),
48,[CVE-2020-28283](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28283),libnested,set(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28283](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28283),
