Vulnerability,Package Name,Details Page,CVE,POC Available,Affected Version,Github Link
Cross-site Scripting (XSS),@backstage/plugin-auth-backend,https://security.snyk.io/vuln/SNYK-JS-BACKSTAGEPLUGINAUTHBACKEND-1932526,CVE-2021-43776,False,<0.4.9 ,n/a
Cross-site Scripting (XSS),@joeattardi/emoji-button,https://security.snyk.io/vuln/SNYK-JS-JOEATTARDIEMOJIBUTTON-1932527,CVE-2021-43785,False,<4.6.2 ,https://github.com/joeattardi/emoji-button/commit/05970c09180cd27fff493e998ac5bf0468b1bb16
Use After Free,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1912075,CVE-2021-38002,False,>=14.0.0 <14.2.1 <13.6.2 ,n/a
Use After Free,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1912074,CVE-2021-37998,False,>=14.0.0 <14.2.1 >=13.0.0 <13.6.2 <12.2.3 ,n/a
Type Confusion,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1911949,CVE-2021-38001,True,>=14.0.0 <14.2.1 >=13.0.0 <13.6.2 <12.2.3 ,n/a
Heap-based Buffer Overflow,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1912084,CVE-2021-37979,False,>=14.0.0 <14.2.0 >=13.0.0 <13.5.2 <12.2.3 ,n/a
Cross-site Scripting (XSS),ag-grid-community,https://security.snyk.io/vuln/SNYK-JS-AGGRIDCOMMUNITY-1932011,,True,<25.2.0 ,n/a
Cross-site Scripting (XSS),@claviska/jquery-minicolors,https://security.snyk.io/vuln/SNYK-JS-CLAVISKAJQUERYMINICOLORS-1930824,,False,<2.3.6 ,https://github.com/claviska/jquery-minicolors/commit/ef134824a7f4110ada53ea6c173111a4fa2f48f3
Prototype Pollution,utils-copy,https://security.snyk.io/vuln/SNYK-JS-UTILSCOPY-1766956,,True,* ,n/a
Improper Certificate Validation,aws-crt,https://security.snyk.io/vuln/SNYK-JS-AWSCRT-1924900,CVE-2021-40829,False,<1.8.2 ,https://github.com/awslabs/aws-crt-java/commit/790e657e3724e1487a75cd2dfb46797e7671b43f
Improper Certificate Validation,aws-crt,https://security.snyk.io/vuln/SNYK-JS-AWSCRT-1924913,CVE-2021-40831,False,<1.9.0 ,https://github.com/awslabs/aws-crt-java/commit/790e657e3724e1487a75cd2dfb46797e7671b43f
Improper Certificate Validation,aws-crt,https://security.snyk.io/vuln/SNYK-JS-AWSCRT-1924945,CVE-2021-40828,False,<1.7.1 ,https://github.com/awslabs/aws-crt-java/commit/b6f353d8a63c5e42e24153fe45b139400c788b58
Improper Certificate Validation,aws-crt,https://security.snyk.io/vuln/SNYK-JS-AWSCRT-1924999,CVE-2021-40830,False,<1.8.2 ,https://github.com/awslabs/aws-crt-java/commit/790e657e3724e1487a75cd2dfb46797e7671b43f
Prototype Pollution,algoliasearch-helper,https://security.snyk.io/vuln/SNYK-JS-ALGOLIASEARCHHELPER-1570421,CVE-2021-23433,True,<3.6.2 ,https://github.com/algolia/algoliasearch-helper-js/commit/4ff542b70b92a6b81cce8b9255700b0bc0817edd
Cross-site Scripting (XSS),ckeditor4,https://security.snyk.io/vuln/SNYK-JS-CKEDITOR4-1922735,CVE-2021-41164,False,<4.17.0 ,n/a
Cross-site Scripting (XSS),ckeditor4,https://security.snyk.io/vuln/SNYK-JS-CKEDITOR4-1922733,CVE-2021-41165,False,<4.17.0 ,n/a
Server-side Request Forgery (SSRF),ssrf-agent,https://security.snyk.io/vuln/SNYK-JS-SSRFAGENT-1584362,CVE-2021-23718,True,<1.0.5 ,n/a
Cross-site Scripting (XSS),@factor/plugin-forum,https://security.snyk.io/vuln/SNYK-JS-FACTORPLUGINFORUM-1921263,CVE-2021-25984,False,>=1.3.3 ,n/a
Authentication Bypass,@factor/cli,https://security.snyk.io/vuln/SNYK-JS-FACTORCLI-1921262,CVE-2021-25985,False,>=1.1.0 <3.0.1 ,n/a
Improper Verification of Source of a Communication Channel,@theia/plugin-ext,https://security.snyk.io/vuln/SNYK-JS-THEIAPLUGINEXT-1921089,CVE-2021-41038,False,<1.18.0 ,https://github.com/eclipse-theia/theia/commit/4ba87c8a4e7949e6b053e381372f8c0f6d7ef195
Regular Expression Denial of Service (ReDoS),terminal-kit,https://security.snyk.io/vuln/SNYK-JS-TERMINALKIT-1734787,,True,<2.1.8 ,https://github.com/cronvel/terminal-kit/commit/a2e446cc3927b559d0281683feb9b821e83b758c
Numeric Errors,@openzeppelin/contracts-upgradeable,https://security.snyk.io/vuln/SNYK-JS-OPENZEPPELINCONTRACTSUPGRADEABLE-1921094,,False,>=4.2.0 <4.3.3 ,https://github.com/OpenZeppelin/openzeppelin-contracts/commit/70138680cf24b5af1cc345e55ea36dbaf26042a3
Numeric Errors,@openzeppelin/contracts,https://security.snyk.io/vuln/SNYK-JS-OPENZEPPELINCONTRACTS-1921095,,False,>=4.2.0 <4.3.3 ,https://github.com/OpenZeppelin/openzeppelin-contracts/commit/70138680cf24b5af1cc345e55ea36dbaf26042a3
Cross-site Scripting (XSS),@factor/plugin-forum,https://security.snyk.io/vuln/SNYK-JS-FACTORPLUGINFORUM-1921260,CVE-2021-25983,False,>=1.3.8 ,n/a
Cross-site Scripting (XSS),@factor/plugin-forum,https://security.snyk.io/vuln/SNYK-JS-FACTORPLUGINFORUM-1921261,CVE-2021-25982,False,>=1.3.5 ,n/a
Improper Initialization,@openzeppelin/contracts,https://security.snyk.io/vuln/SNYK-JS-OPENZEPPELINCONTRACTS-1920946,CVE-2021-41264,False,>=4.1.0 <4.3.2 ,https://github.com/OpenZeppelin/openzeppelin-contracts/commit/024cc50df478d2e8f78539819749e94d6df60592
Improper Initialization,@openzeppelin/contracts-upgradeable,https://security.snyk.io/vuln/SNYK-JS-OPENZEPPELINCONTRACTSUPGRADEABLE-1920947,CVE-2021-41264,False,>=4.1.0 <4.3.2 ,https://github.com/OpenZeppelin/openzeppelin-contracts/commit/024cc50df478d2e8f78539819749e94d6df60592
Prototype Pollution,json-schema,https://security.snyk.io/vuln/SNYK-JS-JSONSCHEMA-1920922,CVE-2021-3918,False,<0.4.0 ,https://github.com/kriszyp/json-schema/commit/22f146111f541d9737e832823699ad3528ca7741
Malicious Package,@xvideos/alerts,https://security.snyk.io/vuln/SNYK-JS-XVIDEOSALERTS-1920929,,False,* ,n/a
Malicious Package,@pornhub/alerts,https://security.snyk.io/vuln/SNYK-JS-PORNHUBALERTS-1920927,,False,* ,n/a
Insufficient Session Expiration,@cyyynthia/tokenize,https://security.snyk.io/vuln/SNYK-JS-CYYYNTHIATOKENIZE-1915381,,False,<1.1.3 ,https://github.com/cyyynthia/tokenize/pull/1/commits/3862864a5cf4cae2eda9de0a5a5e5688170be9ca
Regular Expression Denial of Service (ReDoS),natural,https://security.snyk.io/vuln/SNYK-JS-NATURAL-1915418,,False,<5.1.11 ,https://github.com/NaturalNode/natural/commit/90e85afb20e76560bc555d83abad3bc919388381
Cross-site Scripting (XSS),uswds,https://security.snyk.io/vuln/SNYK-JS-USWDS-1656800,,False,<2.12.2 ,https://github.com/uswds/uswds/commit/b79048c772638600957f93105c9651a8f57a70d3
Regular Expression Denial of Service (ReDoS),uglify-js,https://security.snyk.io/vuln/SNYK-JS-UGLIFYJS-1727251,,False,<3.14.3 ,https://github.com/mishoo/UglifyJS/commit/157521066fc43cff2feab7ffc1ecea603617606b
Improper Verification of Cryptographic Signature,starkbank-ecdsa,https://security.snyk.io/vuln/SNYK-JS-STARKBANKECDSA-1913038,,False,<1.1.3 ,https://github.com/starkbank/ecdsa-dotnet/commit/d78a6c0d80dbf55229f768faa967f14519b9dddd
Cross-site Scripting (XSS),apollo-server,https://security.snyk.io/vuln/SNYK-JS-APOLLOSERVER-1912891,CVE-2021-41249,False,<2.25.3 >=3.0.0 <3.4.1 ,n/a
Cross-site Scripting (XSS),graphql-playground-react,https://security.snyk.io/vuln/SNYK-JS-GRAPHQLPLAYGROUNDREACT-1913042,CVE-2021-41249,False,<1.7.28 ,n/a
Cross-site Scripting (XSS),apostrophe,https://security.snyk.io/vuln/SNYK-JS-APOSTROPHE-1912880,CVE-2021-25978,False,>=2.63.0 <3.4.0 ,https://github.com/apostrophecms/apostrophe/commit/c8b94ee9c79468f1ce28e31966cb0e0839165e59
Cross-site Scripting (XSS),gethue,https://security.snyk.io/vuln/SNYK-JS-GETHUE-1912878,CVE-2021-32481,False,<4.10.1 ,https://github.com/cloudera/hue/commit/87defd31d7ec5c7552e414649aa442f75b5a1230
Insufficient Session Expiration,apostrophe,https://security.snyk.io/vuln/SNYK-JS-APOSTROPHE-1912882,CVE-2021-25979,False,>=2.63.0 <3.4.0 ,https://github.com/apostrophecms/apostrophe/commit/c211b211f9f4303a77a307cf41aac9b4ef8d2c7c
Information Exposure,@sap-cloud-sdk/core,https://security.snyk.io/vuln/SNYK-JS-SAPCLOUDSDKCORE-1912613,CVE-2021-41251,False,<1.52.0 ,n/a
Directory Traversal,nodebb,https://security.snyk.io/vuln/SNYK-JS-NODEBB-1912652,CVE-2021-43788,False,* ,https://github.com/NodeBB/NodeBB/commit/c8b2fc46dc698db687379106b3f01c71b80f495f
Cross-site Scripting (XSS),graphiql,https://security.snyk.io/vuln/SNYK-JS-GRAPHIQL-1912088,CVE-2021-41248,False,>=0.5.0 <1.4.7 ,https://github.com/graphql/graphiql/commit/cb237eeeaf7333c4954c752122261db7520f7bf4
Information Exposure,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1912085,CVE-2021-37976,False,>=14.0.0 <14.2.0 >=13.0.0 <13.5.2 <12.2.2 ,n/a
Heap-based Buffer Overflow,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1912082,CVE-2021-37978,False,>=14.0.0 <14.2.0 <13.5.2 ,n/a
Arbitrary Code Execution,obsidian-dataview,https://security.snyk.io/vuln/SNYK-JS-OBSIDIANDATAVIEW-1912069,CVE-2021-42057,True,* ,n/a
Malicious Package,coa,https://security.snyk.io/vuln/SNYK-JS-COA-1911118,,False,>2.0.2 ,n/a
Malicious Package,rc,https://security.snyk.io/vuln/SNYK-JS-RC-1911120,,False,>1.2.8 ,n/a
Cross-site Scripting (XSS),@grafana/data,https://security.snyk.io/vuln/SNYK-JS-GRAFANADATA-1910932,CVE-2021-41174,False,<8.2.3 ,https://github.com/grafana/grafana/commit/31b78d51c693d828720a5b285107a50e6024c912
Cross-site Scripting (XSS),nbdime-jupyterlab,https://security.snyk.io/vuln/SNYK-JS-NBDIMEJUPYTERLAB-1910929,CVE-2021-41134,False,<1.0.1 >=2.0.0 <2.1.1 ,https://github.com/jupyter/nbdime/commit/e44a5cc7677f24b45ebafc756db49058c2f750ea
Cross-site Scripting (XSS),nbdime,https://security.snyk.io/vuln/SNYK-JS-NBDIME-1910928,CVE-2021-41134,False,<5.0.2 >=6.0.0 <6.1.2 ,https://github.com/jupyter/nbdime/commit/e44a5cc7677f24b45ebafc756db49058c2f750ea
Use After Free,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1910985,CVE-2021-37975,False,>=14.0.0 <14.1.1 >=13.0.0 <13.5.2 <12.2.2 ,n/a
Use After Free,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1910987,CVE-2021-37970,False,>=14.0.0 <14.1.1 >=13.0.0 <13.5.2 <12.2.2 ,n/a
Exposure of Resource to Wrong Sphere,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1910988,CVE-2021-37968,False,>=14.0.0 <14.1.1 >=13.0.0 <13.5.2 <12.2.2 ,n/a
Improper Access Control,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1910991,CVE-2021-37967,False,>=14.0.0 <14.1.1 >=13.0.0 <13.5.2 <12.2.2 ,n/a
Cross-site Scripting (XSS),tinymce,https://security.snyk.io/vuln/SNYK-JS-TINYMCE-1910225,,False,<5.10.0 ,https://github.com/tinymce/tinymce/commit/4b3b0ddfe915a266432acfe23c3653c98b60edfb#diff-5b33cb2dbd28b63194e7b666bbcf9b6367a177fe3b88898d746bacbb5049bfe7
Cross-site Scripting (XSS),tempura,https://security.snyk.io/vuln/SNYK-JS-TEMPURA-1569633,CVE-2021-23784,True,<0.4.0 ,https://github.com/lukeed/tempura/commit/58a5c3671e2f36b26810e77ead9e0dd471902f9b
Prototype Pollution,jsonpointer,https://security.snyk.io/vuln/SNYK-JS-JSONPOINTER-1577288,CVE-2021-23807,True,<5.0.0 ,https://github.com/janl/node-jsonpointer/commit/a0345f3550cd9c4d89f33b126390202b89510ad4
Prototype Pollution,json-ptr,https://security.snyk.io/vuln/SNYK-JS-JSONPTR-1577291,CVE-2021-23509,True,<3.0.0 ,https://github.com/flitbit/json-ptr/commit/5dc458fbad1c382a2e3ca6d62e66ede3d92849ca
Prototype Pollution,json-pointer,https://security.snyk.io/vuln/SNYK-JS-JSONPOINTER-1577287,CVE-2021-23820,True,* ,n/a
Prototype Pollution,dotty,https://security.snyk.io/vuln/SNYK-JS-DOTTY-1577292,CVE-2021-23624,True,<0.1.2 ,https://github.com/deoxxa/dotty/commit/88f61860dcc274a07a263c32cbe9d44c24ef02d7
Cross-site Scripting (XSS),bootstrap-table,https://security.snyk.io/vuln/SNYK-JS-BOOTSTRAPTABLE-1657597,CVE-2021-23472,True,<1.19.1 ,https://github.com/wenzhixin/bootstrap-table/commit/8a46a228b3ffb0b5f4123d46830bd216b9c51bf1
Prototype Pollution,@brikcss/merge,https://security.snyk.io/vuln/SNYK-JS-BRIKCSSMERGE-1727594,,True,* ,n/a
Sandbox Bypass,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1731315,CVE-2021-37980,True,<12.2.2 >=13.0.0 <13.5.2 >=14.0.0 <14.2.0 ,n/a
Arbitrary Code Execution,docker-cli-js,https://security.snyk.io/vuln/SNYK-JS-DOCKERCLIJS-1568516,CVE-2021-23732,True,* ,n/a
Remote Code Execution (RCE),aaptjs,https://security.snyk.io/vuln/SNYK-JS-AAPTJS-1769273,CVE-2020-36381,False,* ,n/a
Access Control Bypass,portainer,https://security.snyk.io/vuln/SNYK-JS-PORTAINER-1769215,CVE-2021-41874,False,* ,n/a
Cross-site Scripting (XSS),froala-editor,https://security.snyk.io/vuln/SNYK-JS-FROALAEDITOR-1768466,CVE-2020-22864,False,* ,n/a
Regular Expression Denial of Service (ReDoS),ramda,https://security.snyk.io/vuln/SNYK-JS-RAMDA-1582370,,False,<0.27.2 ,https://github.com/ramda/ramda/commit/37af6ae2ca8b94656996dd27fb0a1f208d69134e
Malicious Package,noblox.js-proxy,https://security.snyk.io/vuln/SNYK-JS-NOBLOXJSPROXY-1767970,,False,* ,n/a
Malicious Package,noblox.js-proxies,https://security.snyk.io/vuln/SNYK-JS-NOBLOXJSPROXIES-1767971,,False,* ,n/a
Cross-site Scripting (XSS),jquery-ui,https://security.snyk.io/vuln/SNYK-JS-JQUERYUI-1767175,CVE-2021-41184,False,<1.13.0 ,https://github.com/jquery/jquery-ui/commit/effa323f1505f2ce7a324e4f429fa9032c72f280
Cross-site Scripting (XSS),jquery-ui,https://security.snyk.io/vuln/SNYK-JS-JQUERYUI-1767167,CVE-2021-41182,False,<1.13.0 ,https://github.com/jquery/jquery-ui/commit/32850869d308d5e7c9bf3e3b4d483ea886d373ce
Cross-site Scripting (XSS),jquery-ui,https://security.snyk.io/vuln/SNYK-JS-JQUERYUI-1767767,CVE-2021-41183,False,<1.13.0 ,n/a
Cross-site Scripting (XSS),tinymce,https://security.snyk.io/vuln/SNYK-JS-TINYMCE-1766967,,False,<5.9.0 ,https://github.com/tinymce/tinymce/commit/6cb9c736550cf973d1b8f81cf509c7961167c229
Regular Expression Denial of Service (ReDoS),conventional-commits-parser,https://security.snyk.io/vuln/SNYK-JS-CONVENTIONALCOMMITSPARSER-1766960,,False,<3.2.3 ,https://github.com/conventional-changelog/conventional-changelog/commit/c696fa35f93e0ee13728d6cf1221587ac6386311
Cross-site Scripting (XSS),pekeupload,https://security.snyk.io/vuln/SNYK-JS-PEKEUPLOAD-1584360,CVE-2021-23673,True,* ,n/a
Embedded Malicious Code,ua-parser-js,https://security.snyk.io/vuln/SNYK-JS-UAPARSERJS-1766952,,False,>=1.0.0 <1.0.1 >=0.8.0 <0.8.1 >=0.7.29 <0.7.30 ,n/a
Remote Code Execution (RCE),shell-quote,https://security.snyk.io/vuln/SNYK-JS-SHELLQUOTE-1766506,CVE-2021-42740,False,<1.7.3 ,https://github.com/substack/node-shell-quote/commit/5799416ed454aa4ec9afafc895b4e31760ea1abe
Uncontrolled Resource Consumption,modern-async,https://security.snyk.io/vuln/SNYK-JS-MODERNASYNC-1765269,CVE-2021-41167,False,<1.0.4 ,https://github.com/nicolas-van/modern-async/commit/0010d28de1b15d51db3976080e26357fa7144436
Malicious Package,klow,https://security.snyk.io/vuln/SNYK-JS-KLOW-1765659,,False,* ,n/a
Malicious Package,klown,https://security.snyk.io/vuln/SNYK-JS-KLOWN-1765660,,False,* ,n/a
Malicious Package,okhsa,https://security.snyk.io/vuln/SNYK-JS-OKHSA-1765658,,False,* ,n/a
Cross-site Request Forgery (CSRF),kindeditor,https://security.snyk.io/vuln/SNYK-JS-KINDEDITOR-1759449,CVE-2021-42228,False,* ,n/a
Regular Expression Denial of Service (ReDoS),xss,https://security.snyk.io/vuln/SNYK-JS-XSS-1584355,,False,<1.0.10 ,https://github.com/leizongmin/js-xss/commit/699acdea7d6b2910bab6f9e95992dd9e99bef1de
Insecure Randomness,otp-generator,https://security.snyk.io/vuln/SNYK-JS-OTPGENERATOR-1655480,CVE-2021-23451,False,<3.0.0 ,https://github.com/Maheshkumar-Kakade/otp-generator/commit/b27de1ce439ae7f533cec26677e9698671275b70
Remote Code Execution (RCE),git,https://security.snyk.io/vuln/SNYK-JS-GIT-1568518,CVE-2021-23632,True,* ,n/a
Prototype Pollution,x-assign,https://security.snyk.io/vuln/SNYK-JS-XASSIGN-1759314,CVE-2021-23452,True,* ,n/a
Directory Traversal,@backstage/plugin-scaffolder-backend,https://security.snyk.io/vuln/SNYK-JS-BACKSTAGEPLUGINSCAFFOLDERBACKEND-1759309,CVE-2021-41151,False,>=0.9.4 <0.15.9 ,https://github.com/backstage/backstage/commit/5ea950075d6bce2b44fa18948b5b2113a1a4298c
Cross-site Scripting (XSS),kindeditor,https://security.snyk.io/vuln/SNYK-JS-KINDEDITOR-1734691,CVE-2021-42227,False,* ,n/a
Sandbox Bypass,vm2,https://security.snyk.io/vuln/SNYK-JS-VM2-1585918,CVE-2021-23449,True,<3.9.4 ,https://github.com/patriksimek/vm2/commit/b4f6e2bd2c4a1ef52fc4483d8e35f28bc4481886
Denial of Service (DoS),uppy,https://security.snyk.io/vuln/SNYK-JS-UPPY-1734764,,False,<1.26.1 ,https://github.com/transloadit/uppy/commit/65297810bb5a9ac76172eddfedf89c93b586907c
Improper Input Validation,class-validator,https://security.snyk.io/vuln/SNYK-JS-CLASSVALIDATOR-1730566,CVE-2019-18413,True,* ,n/a
Open Redirect,fastify-static,https://security.snyk.io/vuln/SNYK-JS-FASTIFYSTATIC-1730571,CVE-2021-22964,False,>=4.2.4 <4.4.1 ,https://github.com/fastify/fastify-static/commit/c31f17d107cb19a0e96733c80a9abf16c56166d4
Information Exposure,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1730574,CVE-2021-39184,False,>=10.1.0 <11.5.0 >=12.0.0-beta.1 <12.1.0 >=13.0.0-beta.2 <13.3.0 >=14.0.0-beta.1 <14.0.0 >=15.0.0-alpha.1 <15.0.0-alpha.10 ,https://github.com/electron/electron/pull/30728/commits/8fed645bd671f359ee52d806c075ec4e07eda17f
Directory Traversal,@redocly/openapi-cli,https://security.snyk.io/vuln/SNYK-JS-REDOCLYOPENAPICLI-1730576,,False,<1.0.0-beta.59 ,https://github.com/Redocly/openapi-cli/commit/69a1580bc732128a20c62d6150801f4cc1f8c755
HTTP Request Smuggling,llhttp,https://security.snyk.io/vuln/SNYK-JS-LLHTTP-1734682,CVE-2021-22960,False,* ,https://github.com/nodejs/node/commit/21a2e554e3eaa325abbdb28f366928d0ccc0a0f0
HTTP Request Smuggling,llhttp,https://security.snyk.io/vuln/SNYK-JS-LLHTTP-1734686,CVE-2021-22959,False,* ,https://github.com/nodejs/node/commit/21a2e554e3eaa325abbdb28f366928d0ccc0a0f0
Inadequate Encryption Strength,keypair,https://security.snyk.io/vuln/SNYK-JS-KEYPAIR-1730326,CVE-2021-41117,False,<1.0.4 ,https://github.com/juliangruber/keypair/commit/9596418d3363d3e757676c0b6a8f2d35a9d1cb18
Regular Expression Denial of Service (ReDoS),prompts,https://security.snyk.io/vuln/SNYK-JS-PROMPTS-1729737,CVE-2021-3868,True,<2.4.2 ,n/a
Prototype Pollution,config-handler,https://security.snyk.io/vuln/SNYK-JS-CONFIGHANDLER-1564947,CVE-2021-23448,False,* ,n/a
Cross-site Scripting (XSS),teddy,https://security.snyk.io/vuln/SNYK-JS-TEDDY-1579557,CVE-2021-23447,True,<0.5.9 ,n/a
Open Redirect,fastify-static,https://security.snyk.io/vuln/SNYK-JS-FASTIFYSTATIC-1728398,CVE-2021-22963,False,<4.2.4 ,https://github.com/fastify/fastify-static/commit/861e0e9b77cf83d0bd76c6cddac0149d0a769bdb
Improper Authentication,parse-server,https://security.snyk.io/vuln/SNYK-JS-PARSESERVER-1727337,CVE-2021-41109,False,<4.10.4 ,https://github.com/parse-community/parse-server/commit/4ac4b7f71002ed4fbedbb901db1f6ed1e9ac5559
Improper Input Validation,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1727344,CVE-2021-37973,False,>=13.0.0 <13.5.1 <12.2.1 ,n/a
Improper Input Validation,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1727342,CVE-2021-37960,False,>=14.0.0 <14.1.0 >=13.0.0 <13.5.1 <12.2.1 ,n/a
Out-of-Bounds,hermes-engine,https://security.snyk.io/vuln/SNYK-JS-HERMESENGINE-1727253,CVE-2020-1915,False,<0.8.0 ,n/a
Cross-site Scripting (XSS),kindeditor,https://security.snyk.io/vuln/SNYK-JS-KINDEDITOR-1726913,CVE-2021-30086,False,* ,n/a
Cross-site Scripting (XSS),kindeditor,https://security.snyk.io/vuln/SNYK-JS-KINDEDITOR-1726916,CVE-2021-37267,False,* ,n/a
Regular Expression Denial of Service (ReDoS),handsontable,https://security.snyk.io/vuln/SNYK-JS-HANDSONTABLE-1726770,CVE-2021-23446,False,<10.0.0 ,n/a
Use After Free,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1656743,CVE-2021-30633,False,>=13.0.0 <13.5.0 <12.2.0 ,n/a
Buffer Overflow,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1656742,CVE-2021-30628,False,>=13.0.0 <13.5.0 <12.2.0 ,n/a
Out-of-Bounds,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1656745,CVE-2021-30626,False,>=13.0.0 <13.5.0 <12.2.0 ,n/a
Access Restriction Bypass,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1656746,CVE-2021-30630,False,>=13.0.0 <13.5.0 <12.2.0 ,n/a
Type Confusion,electron,https://security.snyk.io/vuln/SNYK-JS-ELECTRON-1656752,CVE-2021-30631,False,>=13.0.0 <13.5.0 <12.2.0 ,n/a
