,Title,Package Name,Details Page,CVE,Affected Version
80,Code Execution through IIFE in node-serialize,node-serialize,https://github.com//advisories/GHSA-q4v7-4rhw-9hqm,CVE-2017-5941,<= 0.0.4
81,Command Injection in dns-sync,dns-sync,https://github.com//advisories/GHSA-jcw8-r9xm-32c6,CVE-2017-16100,< 0.1.1
82,Sandbox Breakout in safe-eval,safe-eval,https://github.com//advisories/GHSA-ww6v-677g-p656,CVE-2017-16088,<= 0.3.0
83,Hijacked Environment Variables in mariadb,mariadb,https://github.com//advisories/GHSA-85fq-56wq-gmcf,CVE-2017-16046,<= 1.0.2
84,Information Exposure on Case Insensitive File Systems in serve,serve,https://github.com//advisories/GHSA-686g-3xr3-x4x6,CVE-2018-3809,< 7.0.0
85,Cross-site Scripting (XSS) - Stored in crud-file-server,crud-file-server,https://github.com//advisories/GHSA-h24f-9mm4-w336,CVE-2018-3726,<= 0.7.0
86,Open Redirect in hekto,hekto,https://github.com//advisories/GHSA-qmm9-x5gr-4gfm,CVE-2018-3743,< 0.2.4
87,Path Traversal in stattic,stattic,https://github.com//advisories/GHSA-w4pv-w56c-mg4v,CVE-2018-3734,< 0.3.0
88,Path Traversal in crud-file-server,crud-file-server,https://github.com//advisories/GHSA-vfp9-gwrh-wq9g,CVE-2018-3733,< 0.9.0
89,Path Traversal in resolve-path,resolve-path,https://github.com//advisories/GHSA-62g9-6hw5-rwfp,CVE-2018-3732,< 1.4.0
90,Path Traversal in public,public,https://github.com//advisories/GHSA-rwv8-jvff-jq28,CVE-2018-3731,<= 0.1.2
91,Fastify denial-of-service vulnerability with large JSON payloads in fastify,fastify,https://github.com//advisories/GHSA-mq6c-fh97-4gwv,CVE-2018-3711,<= 0.37.0
92,Regular Expression Denial of Service in mime,mime,https://github.com//advisories/GHSA-wrvr-8mpx-r7pp,CVE-2017-16138,"< 1.4.1>= 2.0.0, < 2.0.3"
93,Invalid Curve Attack in node-jose,node-jose,https://github.com//advisories/GHSA-rvj9-8cvx-3vq9,CVE-2017-16007,< 0.9.3
94,Regular Expression Denial of Service in tough-cookie,tough-cookie,https://github.com//advisories/GHSA-g7q5-pjjr-gqvp,CVE-2017-15010,< 2.3.3
95,Cross-Site Scripting in i18next,i18next,https://github.com//advisories/GHSA-cmh5-qc8w-xvcq,CVE-2017-16010,">= 2.0.0, < 3.4.4"
96,ReDoS via long UserAgent header in useragent,useragent,https://github.com//advisories/GHSA-pjmx-9xr3-82qr,CVE-2017-16030,<= 2.1.12
97,Regular Expression Denial of Service in decamelize,decamelize,https://github.com//advisories/GHSA-q5c4-39f5-m68j,CVE-2017-16023,">= 1.1.0, <= 1.1.1"
98,Regular Expression Denial Of Service in uri-js,uri-js,https://github.com//advisories/GHSA-333w-rxj3-f55r,CVE-2017-16021,<= 2.1.1
99,Github Token Leak in aegir,aegir,https://github.com//advisories/GHSA-6xhf-x49c-m5m6,CVE-2017-16225,">= 12.0.0, <= 12.0.7"
100,Directory Traversal in nodeaaaaa,nodeaaaaa,https://github.com//advisories/GHSA-xj3h-vc9j-j823,CVE-2017-16223,<= 1.3.0
101,Directory Traversal in dgard8.lab6,dgard8.lab6,https://github.com//advisories/GHSA-xqfm-ff6g-24c7,CVE-2017-16218,<= 0.0.1
102,Directory Traversal in fbr-client,fbr-client,https://github.com//advisories/GHSA-qmhf-qg6f-pc4v,CVE-2017-16217,<= 1.0.3
103,Directory Traversal in ltt,ltt,https://github.com//advisories/GHSA-5jg5-w395-9684,CVE-2017-16212,<= 1.1.0
104,Directory Traversal in jn_jj_server,jn_jj_server,https://github.com//advisories/GHSA-79p8-4cwq-rhqh,CVE-2017-16210,<= 0.0.8
105,Directory Traversal in quickserver,quickserver,https://github.com//advisories/GHSA-78h7-fgq9-625x,CVE-2017-16196,<= 1.1.0
106,Directory Traversal in picard,picard,https://github.com//advisories/GHSA-x5x2-mfc7-r22f,CVE-2017-16194,<= 0.3.1
107,Directory Traversal in getcityapi.yoehoehne,getcityapi.yoehoehne,https://github.com//advisories/GHSA-4vcm-qfxh-p6c3,CVE-2017-16192,<= 0.0.1
108,Directory Traversal in sly07,sly07,https://github.com//advisories/GHSA-rw6j-rhw7-q94c,CVE-2017-16189,<= 0.1.2
109,Directory Traversal in reecerver,reecerver,https://github.com//advisories/GHSA-f7jg-mcvw-9gwv,CVE-2017-16188,<= 0.1.2
110,Directory Traversal in open-device,open-device,https://github.com//advisories/GHSA-jpjp-vxv6-59hm,CVE-2017-16187,<= 4.0.1
111,Directory Traversal in serverxxx,serverxxx,https://github.com//advisories/GHSA-wh33-4p32-g7vh,CVE-2017-16182,<= 1.0.0
112,Directory Traversal in serverabc,serverabc,https://github.com//advisories/GHSA-pr49-5hhf-6mm6,CVE-2017-16180,<= 1.0.0
113,Directory Traversal in intsol-package,intsol-package,https://github.com//advisories/GHSA-23wc-v4mf-x7v4,CVE-2017-16178,<= 1.0.0
114,Directory Traversal in ewgaddis.lab6,ewgaddis.lab6,https://github.com//advisories/GHSA-5x5w-v4xq-p64r,CVE-2017-16175,<= 0.1.1
115,Directory Traversal in whispercast,whispercast,https://github.com//advisories/GHSA-m874-69ww-w7jq,CVE-2017-16174,<= 0.1.0
116,Directory Traversal in utahcityfinder,utahcityfinder,https://github.com//advisories/GHSA-68cm-mgv7-vg5c,CVE-2017-16173,<= 0.0.1
117,Directory Traversal in looppake,looppake,https://github.com//advisories/GHSA-4vfj-c2xf-8r48,CVE-2017-16169,<= 3.0.0
118,Directory Traversal in byucslabsix,byucslabsix,https://github.com//advisories/GHSA-hhff-3c89-5m7p,CVE-2017-16166,<= 0.0.5
119,Directory Traversal in calmquist.static-server,calmquist.static-server,https://github.com//advisories/GHSA-756f-6j3f-48q9,CVE-2017-16165,<= 0.1.1
120,Directory Traversal in 22lixian,22lixian,https://github.com//advisories/GHSA-rrfc-g2gh-xvjm,CVE-2017-16162,<= 1.0.0
121,Directory Traversal in censorify.tanisjr,censorify.tanisjr,https://github.com//advisories/GHSA-776r-w3v9-96mv,CVE-2017-16157,<= 0.1.4
122,Directory Traversal in fast-http-cli,fast-http-cli,https://github.com//advisories/GHSA-9frq-f867-hgqc,CVE-2017-16155,<= 0.0.8
123,Directory Traversal in static-html-server,static-html-server,https://github.com//advisories/GHSA-9j5m-873f-xh76,CVE-2017-16152,<= 0.1.2
124,Chromium Remote Code Execution in electron,electron,https://github.com//advisories/GHSA-4w88-rjj3-x7wp,CVE-2017-16151,"< 1.6.14>= 1.7.0, < 1.7.8"
125,Directory Traversal in mockserve,mockserve,https://github.com//advisories/GHSA-vgjp-vh3c-32v3,CVE-2017-16146,<= 2.0.6
126,Directory Traversal in sspa,sspa,https://github.com//advisories/GHSA-ggq8-j54v-54x8,CVE-2017-16145,<= 0.1.0
127,Directory Traversal in myserver.alexcthomas18,myserver.alexcthomas18,https://github.com//advisories/GHSA-rgq8-25qc-h54q,CVE-2017-16144,<= 0.0.1
128,Directory Traversal in commentapp.stetsonwood,commentapp.stetsonwood,https://github.com//advisories/GHSA-j5mg-fpq8-vvxv,CVE-2017-16143,<= 0.0.1
129,Directory Traversal in infraserver,infraserver,https://github.com//advisories/GHSA-v464-rcx7-j875,CVE-2017-16142,<= 0.0.1
130,Directory Traversal in lab6drewfusbyu,lab6drewfusbyu,https://github.com//advisories/GHSA-7pgq-hhq9-9r27,CVE-2017-16141,<= 0.1.1
131,Directory Traversal in lab6.brit95,lab6.brit95,https://github.com//advisories/GHSA-7vq3-wcjw-3fxh,CVE-2017-16140,<= 0.1.1
132,Directory Traversal in goserv,goserv,https://github.com//advisories/GHSA-pwqj-h62h-q35c,CVE-2017-16133,<= 1.0.0
133,Directory Traversal in simple-npm-registry,simple-npm-registry,https://github.com//advisories/GHSA-hqw4-8893-j4h7,CVE-2017-16132,<= 0.0.4
134,Directory Traversal in unicorn-list,unicorn-list,https://github.com//advisories/GHSA-3vg2-4qxc-ch4j,CVE-2017-16131,<= 1.0.4
135,Regular Expression Denial of Service in slug,slug,https://github.com//advisories/GHSA-jxqq-cqm6-pfq9,CVE-2017-16117,<= 0.9.1
136,Denial of Service in nes,nes,https://github.com//advisories/GHSA-3pwh-5mmc-mwrx,CVE-2017-16025,<= 6.4.0
137,Bypassing Sanitization using DOM clobbering in html-janitor,html-janitor,https://github.com//advisories/GHSA-fx46-whrj-73v5,CVE-2017-0928,< 2.0.4
138,Hijacked Environment Variables in nodefabric,nodefabric,https://github.com//advisories/GHSA-8qp3-pvwc-2g4p,CVE-2017-16054,<= 1.0.2
139,Hijacked Environment Variables in sqliter,sqliter,https://github.com//advisories/GHSA-22j5-38qv-pxx7,CVE-2017-16051,<= 1.0.2
140,Hijacked Environment Variables in node-fabric,node-fabric,https://github.com//advisories/GHSA-gfv4-2vhm-486m,CVE-2017-16052,<= 1.0.2
141,Hijacked Environment Variables in fabric-js,fabric-js,https://github.com//advisories/GHSA-v73m-fjxv-w4rh,CVE-2017-16053,<= 1.0.2
142,Hijacked Environment Variables in nodesqlite,nodesqlite,https://github.com//advisories/GHSA-wwf2-5cj8-jx6w,CVE-2017-16049,<= 1.0.2
143,Hijacked Environment Variables in sqlite.js,sqlite.js,https://github.com//advisories/GHSA-6f34-pq9f-36vf,CVE-2017-16050,<= 1.0.2
144,Hijacked Environment Variables in jquery.js,jquery.js,https://github.com//advisories/GHSA-jp27-cwp2-5qqr,CVE-2017-16045,<= 1.0.2
145,Hijacked Environment Variables in node-sqlite,node-sqlite,https://github.com//advisories/GHSA-x52f-h74p-9jh8,CVE-2017-16048,<= 1.0.2
146,Hijacked Environment Variables in d3.js,d3.js,https://github.com//advisories/GHSA-qmjg-g86h-6rc9,CVE-2017-16044,<= 1.0.2
147,Directory Traversal in exxxxxxxxxxx,exxxxxxxxxxx,https://github.com//advisories/GHSA-pq5x-rprq-8jrj,CVE-2017-16130,<= 1.0.2
148,Directory Traversal in http_static_simple,http_static_simple,https://github.com//advisories/GHSA-3grc-fgh6-g5gp,CVE-2017-16134,<= 0.1.1
149,Regular Expression Denial of Service in method-override,method-override,https://github.com//advisories/GHSA-qx2f-477c-35rq,CVE-2017-16136,"= 1.0.2>= 2.0.0, < 2.3.10"
150,Directory Traversal in rtcmulticonnection-client,rtcmulticonnection-client,https://github.com//advisories/GHSA-vcqg-cmv3-wj57,CVE-2017-16125,<= 1.0.5
151,Directory Traversal in datachannel-client,datachannel-client,https://github.com//advisories/GHSA-jpg7-6c9f-7q54,CVE-2017-16121,<= 1.0.2
152,Directory Traversal in node-server-forfront,node-server-forfront,https://github.com//advisories/GHSA-j38m-7q52-fgfh,CVE-2017-16124,<= 0.10.7
153,Regular Expression Denial of Service in marked,marked,https://github.com//advisories/GHSA-x5pg-88wf-qq4p,CVE-2017-16114,< 0.3.9
154,Regular Expression Denial of Service in string,string,https://github.com//advisories/GHSA-g36h-6r4f-3mqp,CVE-2017-16116,<= 3.3.3
155,Regular Expression Denial of Service in forwarded,forwarded,https://github.com//advisories/GHSA-mpcf-4gmh-23w8,CVE-2017-16118,< 0.1.2
156,Regular Expression Denial of Service in fresh,fresh,https://github.com//advisories/GHSA-9qj9-36jm-prpv,CVE-2017-16119,< 0.5.2
157,Directory Traversal in tmock,tmock,https://github.com//advisories/GHSA-j6w4-pg6p-5mrv,CVE-2017-16106,<= 0.0.7
158,Regular Expression Denial of Service in content,content,https://github.com//advisories/GHSA-x6wp-rfwh-hcx7,CVE-2017-16111,< 3.0.7
159,Regular Expression Denial of Service in parsejson,parsejson,https://github.com//advisories/GHSA-q75g-2496-mxpp,CVE-2017-16113,<= 0.0.3
160,Directory Traversal in citypredict.whauwiller,citypredict.whauwiller,https://github.com//advisories/GHSA-vxwf-pprx-wc25,CVE-2017-16104,<= 1.0.0
161,Directory traversal in pooledwebsocket,pooledwebsocket,https://github.com//advisories/GHSA-cfxm-4p54-5w7h,CVE-2017-16107,< 0.0.19
162,Regular Expression Denial of Service in no-case,no-case,https://github.com//advisories/GHSA-ff6r-5jwm-8292,CVE-2017-16099,< 2.3.2
163,Directory Traversal in sencisho,sencisho,https://github.com//advisories/GHSA-6866-x7cf-rmh5,CVE-2017-16092,<= 0.3.3
164,Directory Traversal in iter-http,iter-http,https://github.com//advisories/GHSA-3cgg-gh9j-w8vm,CVE-2017-16094,<= 1.0.13
165,Directory Traversal in list-n-stream,list-n-stream,https://github.com//advisories/GHSA-23vf-5g53-hm9q,CVE-2017-16084,<= 0.0.10
166,Directory Traversal in tinyserver2,tinyserver2,https://github.com//advisories/GHSA-g8wf-rcg3-qw4q,CVE-2017-16085,<= 0.5.2
167,ReDoS via long UserAgent header in ua-parser,ua-parser,https://github.com//advisories/GHSA-pmg9-p9r2-6q87,CVE-2017-16086,<= 0.3.5
168,Downloads resources over HTTP in hubl-server,hubl-server,https://github.com//advisories/GHSA-h8mc-42c3-r72p,CVE-2017-16035,<= 1.1.5
169,Directory Traversal in badjs-sourcemap-server,badjs-sourcemap-server,https://github.com//advisories/GHSA-xq98-5rcf-5wqh,CVE-2017-16036,<= 0.1.11
170,Directory Traversal in gomeplus-h5-proxy,gomeplus-h5-proxy,https://github.com//advisories/GHSA-94x5-94wf-m445,CVE-2017-16037,<= 1.0.15
171,Directory Traversal in hftp,hftp,https://github.com//advisories/GHSA-76p6-gpvf-6wmv,CVE-2017-16039,<= 0.0.6
172,Downloads Resources over HTTP in ikst,ikst,https://github.com//advisories/GHSA-w23f-f3c5-r9qh,CVE-2017-16041,< 1.1.2
173,Remote Code Execution in pg,pg,https://github.com//advisories/GHSA-wc9v-mj63-m9g5,CVE-2017-16082,"< 2.11.2>= 3.0.0, < 3.6.4>= 4.0.0, < 4.5.7>= 5.0.0, < 5.2.1>= 6.0.0, < 6.0.5>= 6.1.0, < 6.1.6>= 6.2.0, < 6.2.5>= 6.3.0, < 6.3.3>= 6.4.0, < 6.4.2>= 7.0.0, < 7.0.2>= 7.1.0, < 7.1.2"
174,Directory Traversal in node-simple-router,node-simple-router,https://github.com//advisories/GHSA-5w8q-x7hc-jhp6,CVE-2017-16083,<= 0.10.0
175,Directory Traversal in f2e-server,f2e-server,https://github.com//advisories/GHSA-g7j3-p357-cw8p,CVE-2017-16038,<= 1.12.11
176,Path Traversal in localhost-now,localhost-now,https://github.com//advisories/GHSA-2gjg-5x33-mmp2,CVE-2018-3729,< 1.0.2
177,Path Traversal in angular-http-server,angular-http-server,https://github.com//advisories/GHSA-4rvg-955w-h68q,CVE-2018-3713,< 1.6.0
178,Path Traversal in node-srv,node-srv,https://github.com//advisories/GHSA-52r9-g5g6-2hjp,CVE-2018-3714,< 2.1.1
179,Path Traversal in glance,glance,https://github.com//advisories/GHSA-2x4q-6jfv-8h9h,CVE-2018-3715,< 3.0.4
180,Stored Cross-Site Scripting in simplehttpserver,simplehttpserver,https://github.com//advisories/GHSA-jrhj-2j3q-xf3v,CVE-2018-3716,< 0.1.0
181,Cross-Site Scripting in simple-server,simple-server,https://github.com//advisories/GHSA-rch9-xh7r-mqgw,CVE-2018-3717,< 1.5.0< 1.1.0
182,Prototype Pollution in mixin-deep,mixin-deep,https://github.com//advisories/GHSA-3mpr-hq3p-49h9,CVE-2018-3719,< 1.3.1
183,Prototype Pollution in assign-deep,assign-deep,https://github.com//advisories/GHSA-xcvv-84j5-jw9h,CVE-2018-3720,< 0.4.7
184,Prototype Pollution in lodash,lodash,https://github.com//advisories/GHSA-fvqr-27wr-82fm,CVE-2018-3721,< 4.17.5
185,Prototype Pollution in merge-deep,merge-deep,https://github.com//advisories/GHSA-9g9w-hmvj-5h57,CVE-2018-3722,< 3.0.1
186,Prototype Pollution in defaults-deep,default-deep,https://github.com//advisories/GHSA-cqp5-m4pq-gfgp,CVE-2018-3723,< 0.2.4
