Title,Package Name,Details Page,CVE,Affected Version
Directory Traversal in calmquist.static-server,calmquist.static-server,https://github.com//advisories/GHSA-756f-6j3f-48q9,CVE-2017-16165,<= 0.1.1
Directory Traversal in censorify.tanisjr,censorify.tanisjr,https://github.com//advisories/GHSA-776r-w3v9-96mv,CVE-2017-16157,<= 0.1.4
Directory Traversal in myserver.alexcthomas18,myserver.alexcthomas18,https://github.com//advisories/GHSA-rgq8-25qc-h54q,CVE-2017-16144,<= 0.0.1
Directory Traversal in commentapp.stetsonwood,commentapp.stetsonwood,https://github.com//advisories/GHSA-j5mg-fpq8-vvxv,CVE-2017-16143,<= 0.0.1
Directory Traversal in lab6.brit95,lab6.brit95,https://github.com//advisories/GHSA-7vq3-wcjw-3fxh,CVE-2017-16140,<= 0.1.1
Hijacked Environment Variables in sqlite.js,sqlite.js,https://github.com//advisories/GHSA-6f34-pq9f-36vf,CVE-2017-16050,<= 1.0.2
Hijacked Environment Variables in jquery.js,jquery.js,https://github.com//advisories/GHSA-jp27-cwp2-5qqr,CVE-2017-16045,<= 1.0.2
Hijacked Environment Variables in d3.js,d3.js,https://github.com//advisories/GHSA-qmjg-g86h-6rc9,CVE-2017-16044,<= 1.0.2
Directory Traversal in citypredict.whauwiller,citypredict.whauwiller,https://github.com//advisories/GHSA-vxwf-pprx-wc25,CVE-2017-16104,<= 1.0.0
Critical severity vulnerability that affects dns-sync,dns-sync,https://github.com//advisories/GHSA-wxvm-fh75-mpgr,,< 0.1.1
High severity vulnerability that affects jquery-ui,jquery-ui,https://github.com//advisories/GHSA-g8q2-24jh-5hpc,,< 1.12.0
Path Traversal in superstatic,superstatic,https://github.com//advisories/GHSA-wm77-q74p-5763,,< 5.0.2
Moderate severity vulnerability that affects is-my-json-valid,is-my-json-valid,https://github.com//advisories/GHSA-ccq6-3qx5-vmqx,,<= 2.12.3
npm Token Leak in npm,npm,https://github.com//advisories/GHSA-m5h6-hr3q-22h5,CVE-2016-3956,"<= 2.15.0>= 3.0.0, <= 3.8.2"
Moderate severity vulnerability that affects moment,moment,https://github.com//advisories/GHSA-hxf5-mg84-pj4m,,< 2.11.2
Exfiltrates Discord login tokens to pastebin in discordi.js,discordi.js,https://github.com//advisories/GHSA-fv9m-f7w4-889c,CVE-2017-16207,<= 14.0.3
Hijacked Environment Variables in http-proxy.js,http-proxy.js,https://github.com//advisories/GHSA-4g54-95xv-f353,CVE-2017-16075,<= 1.0.2
Hijacked Environment Variables in proxy.js,proxy.js,https://github.com//advisories/GHSA-qj73-v688-wqxf,CVE-2017-16076,<= 1.0.2
Hijacked Environment Variables in nodemailer.js,nodemailer.js,https://github.com//advisories/GHSA-j866-8vxx-27hx,CVE-2017-16072,<= 1.0.2
Hijacked Environment Variables in openssl.js,openssl.js,https://github.com//advisories/GHSA-22gq-x6pg-752j,CVE-2017-16065,>= 0.0.0
Moderate severity vulnerability that affects opencv.js,opencv.js,https://github.com//advisories/GHSA-5hxw-r847-qfwp,CVE-2017-16066,<= 1.2.1
Moderate severity vulnerability that affects mustache,mustache,https://github.com//advisories/GHSA-3233-rgx3-c2wh,,< 2.2.1
High severity vulnerability that affects uglify-js,uglify-js,https://github.com//advisories/GHSA-g6f4-j6c2-w3p3,,< 2.4.24
High severity vulnerability that affects qs,qs,https://github.com//advisories/GHSA-crvj-3gj9-gm2p,,< 1.0.0
Moderate severity vulnerability that affects send,send,https://github.com//advisories/GHSA-pgv6-jrvv-75jp,,< 0.8.4
Insecure randomness in socket.io,socket.io,https://github.com//advisories/GHSA-qv2v-m59f-v5fw,CVE-2017-16031,<= 0.9.6
Hijacked Environment Variables in mssql.js,mssql.js,https://github.com//advisories/GHSA-5mhv-9qw8-j63g,CVE-2017-16056,<= 1.0.2
Cross-Site Scripting in morris.js,morris.js,https://github.com//advisories/GHSA-fwx5-5fqj-jv98,CVE-2017-16022,= 0.5.0
Content Injection via TileJSON attribute in mapbox.js,mapbox.js,https://github.com//advisories/GHSA-qr28-7j6p-9hmv,CVE-2017-1000042,"< 1.6.5>= 2.0.0, < 2.1.7"
Content Injection via TileJSON Name in mapbox.js,mapbox.js,https://github.com//advisories/GHSA-q69p-5h74-w36f,CVE-2017-1000043,"< 1.6.6>= 2.0.0, < 2.2.4"
Moderate severity vulnerability that affects yapi-vendor,yapi-vendor,https://github.com//advisories/GHSA-5xgh-643p-cp2g,CVE-2018-17574,< 1.3.23
Low severity vulnerability that affects ethereumjs-vm,ethereumjs-vm,https://github.com//advisories/GHSA-2mw7-wggm-m6w3,CVE-2018-19183,<= 2.4.0
Critical severity vulnerability that affects event-stream and flatmap-stream,flatmap-stream,https://github.com//advisories/GHSA-mh6f-8j2x-4483,,= 3.3.6> 0
Low severity vulnerability that affects mcstatic,mcstatic,https://github.com//advisories/GHSA-cxmj-qjv6-vx9p,CVE-2018-16482,<= 0.0.20
Low severity vulnerability that affects public,public,https://github.com//advisories/GHSA-649c-x44h-4q7v,CVE-2018-16480,< 0.1.4
Insecure Defaults Allow MITM Over TLS in engine.io-client,engine.io-client,https://github.com//advisories/GHSA-4r4m-hjwj-43p8,CVE-2016-10536,< 1.6.9
Downloads Resources over HTTP in serc.js,serc.js,https://github.com//advisories/GHSA-vcph-57hv-89c4,CVE-2016-10678,<= 0.0.1
"XSS in jQuery as used in Drupal, Backdrop CMS, and other products",jquery,https://github.com//advisories/GHSA-6c3j-c64m-qhgq,CVE-2019-11358,< 3.4.0
Cross-Site Scripting in webpack-bundle-analyzer,webpack-bundle-analyzer,https://github.com//advisories/GHSA-pgr8-jg6h-8gw6,,< 3.3.2
Cryptographically Weak PRNG in generate-password,generate-password,https://github.com//advisories/GHSA-6qqf-vvcr-7qrv,,< 1.4.1
Remote Memory Exposure in mysql,mysql,https://github.com//advisories/GHSA-5f7m-mmpc-qhh4,,< 2.14.0
Out-of-bounds Read in concat-with-sourcemaps,concat-with-sourcemaps,https://github.com//advisories/GHSA-2xv3-h762-ccxv,,">= 1.0.0, < 1.0.6"
Server-Side Request Forgery in terriajs-server,terriajs-server,https://github.com//advisories/GHSA-p72p-rjr2-r439,,< 2.7.4
Reflected Cross-Site Scripting in jquery.terminal,jquery.terminal,https://github.com//advisories/GHSA-2hwp-g4g7-mwwj,,< 1.21.0
Directory Traversal in ltt.js,ltt.js,https://github.com//advisories/GHSA-6qh5-wx38-q92g,,= 1.0.0
Cross-Site Scripting in bootbox,bootbox,https://github.com//advisories/GHSA-87mg-h5r3-hw88,,<= 5.5.2
Insecure Credential Storage in web3,web3,https://github.com//advisories/GHSA-27v7-qhfv-rqq8,,<= 1.5.2
Improper Key Verification in ipns,ipns,https://github.com//advisories/GHSA-j59f-6m4q-62h6,,< 0.1.3
Cross-Site Scripting in bracket-template,bracket-template,https://github.com//advisories/GHSA-jj6g-7j8p-7gf2,,<= 1.1.5
Denial of Service in foreman,foreman,https://github.com//advisories/GHSA-xm28-fw2x-fqv2,,< 3.0.1
Prototype Pollution in deap,deap,https://github.com//advisories/GHSA-xrmp-99wj-p6jc,,< 1.0.1
Path Traversal in angular-http-server,angular-http-server,https://github.com//advisories/GHSA-vmhw-fhj6-m3g5,,< 1.4.4
Cross-Site Scripting in public,public,https://github.com//advisories/GHSA-7jfh-2xc9-ccv7,,< 0.1.4= 0.1.5
Cross-Site Scripting in react-svg,react-svg,https://github.com//advisories/GHSA-8xqr-4cpm-wx7g,,< 2.2.18
Out-of-bounds Read in base64-url,base64-url,https://github.com//advisories/GHSA-j4mr-9xw3-c9jx,,< 2.0.0
Memory Exposure in tunnel-agent,tunnel-agent,https://github.com//advisories/GHSA-xc7v-wxcw-j472,,< 0.6.0
Memory Exposure in bl,bl,https://github.com//advisories/GHSA-wrw9-m778-g6mc,,< 0.9.5= 1.0.0
Memory Exposure in concat-stream,concat-stream,https://github.com//advisories/GHSA-g74r-ffvr-5q9f,,">= 1.5.0, < 1.5.2>= 1.4.0, < 1.4.11>= 1.3.0, < 1.3.2"
Denial of Service in ircdkit,ircdkit,https://github.com//advisories/GHSA-f7r3-p866-q9qr,,<= 1.0.3
Command Injection in command-exists,command-exists,https://github.com//advisories/GHSA-cff4-rrq6-h78w,,< 1.2.4
Privilege Escalation in express-cart,express-cart,https://github.com//advisories/GHSA-3fc5-9x9m-vqc4,,< 1.1.6
Remote Memory Exposure in floody,floody,https://github.com//advisories/GHSA-3p92-886g-qxpq,,< 0.1.1
Sensitive Data Exposure in pem,pem,https://github.com//advisories/GHSA-pgcr-7wm4-mcv6,,< 1.13.2
Cross-Site Scripting (XSS) in cloudcmd,cloudcmd,https://github.com//advisories/GHSA-m8fw-534v-xm85,,< 9.1.6
Out-of-bounds Read in byte,byte,https://github.com//advisories/GHSA-xm7f-x4wx-wmgv,,< 1.4.1
NoSQL Injection in loopback-connector-mongodb,loopback-connector-mongodb,https://github.com//advisories/GHSA-m734-r4g6-34f9,,< 3.6.0
Denial of Service in ws,ws,https://github.com//advisories/GHSA-5v72-xg48-5rpm,,">= 0.2.6, < 1.1.5>= 2.0.0, < 3.3.1"
NoSQL Injection in sequelize,sequelize,https://github.com//advisories/GHSA-wfp9-vr4j-f49j,,< 4.12.0
Command Injection in opencv,opencv,https://github.com//advisories/GHSA-f698-m2v9-5fh3,,< 6.1.0
Code Injection in js-yaml,js-yaml,https://github.com//advisories/GHSA-8j8c-7jfh-h6hx,,< 3.13.1
High severity vulnerability that affects gun,gun,https://github.com//advisories/GHSA-886v-mm6p-4m66,,< 0.2019.416
Denial of Service in canvas,canvas,https://github.com//advisories/GHSA-vpq5-4rc8-c222,,< 1.6.10
Denial of Service in url-relative,url-relative,https://github.com//advisories/GHSA-86p3-4gfq-38f2,,<= 1.0.0
Path Traversal in statics-server,statics-server,https://github.com//advisories/GHSA-74cp-qw7f-7hpw,,<= 0.0.9
Regular Expression Denial of Service in marked,marked,https://github.com//advisories/GHSA-xf5p-87ch-gxw2,,< 0.3.18
Denial of Service in js-yaml,js-yaml,https://github.com//advisories/GHSA-2pr6-76vf-7546,,< 3.13.0
Prototype Pollution in handlebars,handlebars,https://github.com//advisories/GHSA-q42p-pg8m-cqh6,,">= 4.1.0, < 4.1.2>= 4.0.0, < 4.0.14< 3.0.7"
Sensitive Data Exposure in sequelize-cli,sequelize-cli,https://github.com//advisories/GHSA-3xc7-xg67-pw99,,<= 5.4.0
Insecure Default Configuration in tesseract.js,tesseract.js,https://github.com//advisories/GHSA-83rx-c8cr-6j8q,,< 1.0.19
Regular Expression Denial of Service in clean-css,dotnetng.template,https://github.com//advisories/GHSA-wxhq-pm8v-cw75,,= 1.0.100= 0.1.5= 0.0.3= 0.0.1= 0.0.2< 4.1.11= 4.1.10= 3.0.1= 1.0.0.3
Command Injection in dot,dot,https://github.com//advisories/GHSA-4859-gpc7-4j66,,<= 1.1.2
SQL Injection in typeorm,typeorm,https://github.com//advisories/GHSA-w7q7-vjp8-7jv4,,< 0.1.15
Path Traversal in servey,servey,https://github.com//advisories/GHSA-rv49-54qp-fw42,,< 3.1.0
Regular Expression Denial of Service in braces,braces,https://github.com//advisories/GHSA-g95f-p29q-9xw4,,< 2.3.1
Signature Verification Bypass in jwt-simple,jwt-simple,https://github.com//advisories/GHSA-8v5f-hp78-jgxq,,< 0.5.3
Timing Attack in express-basic-auth,express-basic-auth,https://github.com//advisories/GHSA-c35v-qwqg-87jc,,< 1.1.7
Prototype Pollution in upmerge,upmerge,https://github.com//advisories/GHSA-gm9g-2g8v-fvxj,,<= 0.1.8
Insecure Default Configuration in redbird,redbird,https://github.com//advisories/GHSA-8948-ffc6-jg52,,<= 0.9.0
Rate Limiting Bypass in express-brute,express-brute,https://github.com//advisories/GHSA-984p-xq9m-4rjw,,<= 1.0.1
Regular Expression Denial of Service,nwmatcher,https://github.com//advisories/GHSA-6394-6h9h-cfjg,,< 1.4.4
Prototype Pollution,querystringify,https://github.com//advisories/GHSA-hxcm-v35h-mg2x,,< 2.0.0
Remote Code Execution in node-os-utils,node-os-utils,https://github.com//advisories/GHSA-j9f8-8h89-j69x,,< 1.1.0
Path Traversal in m-server,m-server,https://github.com//advisories/GHSA-vc6r-4x6g-mmqc,,< 1.4.2
Denial of Service in http-proxy-agent,http-proxy-agent,https://github.com//advisories/GHSA-8w57-jfpm-945m,,< 2.1.0
Path Traversal in localhost-now,localhost-now,https://github.com//advisories/GHSA-73cw-jxmm-qpgh,,<= 1.0.2
Command Injection in fs-path,fs-path,https://github.com//advisories/GHSA-gc94-6w89-hpqr,,<= 0.0.25
Out-of-bounds Read in npmconf,npmconf,https://github.com//advisories/GHSA-57cf-349j-352g,,< 2.1.3
SQL Injection in sql,sql,https://github.com//advisories/GHSA-8f93-rv4p-x4jw,,<= 0.78.0
Cross-Site Scripting in ids-enterprise,ids-enterprise,https://github.com//advisories/GHSA-crfx-5phg-hmw9,,< 4.18.2
Cross-Site Scripting in ids-enterprise,ids-enterprise,https://github.com//advisories/GHSA-hpfq-8wx8-cgqw,,< 4.18.2
Command Injection in wiki-plugin-datalog,wiki-plugin-datalog,https://github.com//advisories/GHSA-pm52-wwrw-c282,,< 0.1.6
Regular Expression Denial of Service (ReDoS),diff,https://github.com//advisories/GHSA-h6ch-v84p-w6p9,,< 3.5.0
Prototype Pollution in lutils-merge,lutils-merge,https://github.com//advisories/GHSA-f7qw-5pvg-mmwp,,<= 0.2.6
Cross-Site Scripting in ids-enterprise,ids-enterprise,https://github.com//advisories/GHSA-49r3-3h96-rwj6,,< 4.18.2
Prototype Pollution in @apollo/gateway,@apollo/gateway,https://github.com//advisories/GHSA-74cr-77xc-8g6r,,< 0.6.2
Failure to sanitize quotes which can lead to sql injection in squel,squel,https://github.com//advisories/GHSA-4qhx-g9wp-g9m6,,<= 5.13.0
Sandbox Bypass Leading to Arbitrary Code Execution in constantinople,constantinople,https://github.com//advisories/GHSA-4vmm-mhcq-4x9j,,< 3.1.1
Path Traversal in serve-here.js,serve-here,https://github.com//advisories/GHSA-g8m7-qhv7-9h5x,,<= 3.2.0
Regular Expression Denial of Service in underscore.string,underscore.string,https://github.com//advisories/GHSA-v2p6-4mp7-3r9v,,< 3.3.5
Directory Traversal in lactate,lactate,https://github.com//advisories/GHSA-68gr-cmcp-g3mj,,<= 0.13.12
Reverse Tabnapping in swagger-ui,swagger-ui,https://github.com//advisories/GHSA-x9p2-fxq6-2m5f,,< 3.18.0
Regular Expression Denial of Service,esm,https://github.com//advisories/GHSA-qx4v-6gc5-f2vv,,< 3.1.0
Command Injection in open,open,https://github.com//advisories/GHSA-28xh-wpgr-7fm8,,< 6.0.0
Cross-Site Scripting via JSONP,angular,https://github.com//advisories/GHSA-28hp-fgcr-2r4h,,< 1.6.0
Arbitrary Code Injection in mobile-icon-resizer,mobile-icon-resizer,https://github.com//advisories/GHSA-mxjr-xmcg-fg7w,,">= 0.2.0, < 0.4.3"
Denial of Service in mem,mem,https://github.com//advisories/GHSA-4xcv-9jjx-gfj3,,< 4.0.0
Denial of Service in rgb2hex,rgb2hex,https://github.com//advisories/GHSA-65p8-3hm4-h9h8,,< 0.1.6
Identity Spoofing in libp2p-secio,libp2p-secio,https://github.com//advisories/GHSA-rch7-f4h5-x9rj,,< 0.9.0
Path Traversal in algo-httpserv,algo-httpserv,https://github.com//advisories/GHSA-cgjv-rghq-qhgp,,< 1.1.2
Undefined Behavior in sailsjs-cacheman,sailsjs-cacheman,https://github.com//advisories/GHSA-5w65-6875-rhq8,,<= 1.0.0
Low severity vulnerability that affects smartbanner.js,smartbanner.js,https://github.com//advisories/GHSA-9mrq-cjgh-32g2,,< 1.14.1
Critical severity vulnerability that affects generator-jhipster,generator-jhipster,https://github.com//advisories/GHSA-mwp6-j9wf-968c,,< 6.3.0
High severity vulnerability that affects generator-jhipster,generator-jhipster,https://github.com//advisories/GHSA-mc84-xr9p-938r,,< 6.3.1
Buffer Overflow in centra,centra,https://github.com//advisories/GHSA-v6cj-r88p-92rm,,< 2.4.0
Sandbox Breakout in realms-shim,ses,https://github.com//advisories/GHSA-6jg8-7333-554w,,< 1.2.0< 0.6.3
Low severity vulnerability that affects eye.js,eye.js,https://github.com//advisories/GHSA-mgv2-57vj-99xc,,= 1.2.0
Sandbox Breakout in realms-shim,realms-shim,https://github.com//advisories/GHSA-7cg8-pq9v-x98q,,< 1.2.1
Moderate severity vulnerability that affects renovate,renovate,https://github.com//advisories/GHSA-v7x3-7hw7-pcjg,,< 19.38.7
Default Express middleware security check is ignored in production,@cubejs-backend/api-gateway,https://github.com//advisories/GHSA-4j6x-w426-6rc6,,">= 0.11.0, <= 0.11.16"
Cross-Site Scripting in vant,vant,https://github.com//advisories/GHSA-9xr8-8hmc-389f,,< 2.1.8
Cross-Site Scripting in serialize-javascript,serialize-javascript,https://github.com//advisories/GHSA-h9rv-jmmf-4pgx,CVE-2019-16769,< 2.1.1
Cross-site scripting vulnerability in TinyMCE,tinymce,https://github.com//advisories/GHSA-27gm-ghr9-4v95,,"< 4.9.7>= 5.0.0, < 5.1.4"
discord-html not escaping HTML code blocks when lacking a language identifier,discord-markdown,https://github.com//advisories/GHSA-9r27-994c-4xch,,< 2.3.1
Holder can (re)create authentic credentials after receiving a credential in vp-toolkit,vp-toolkit,https://github.com//advisories/GHSA-p94w-42g3-f7h4,,< 0.2.2
Holder can generate proof of ownership for credentials it does not control in vp-toolkit,vp-toolkit,https://github.com//advisories/GHSA-ff5x-w9wg-h275,,< 0.2.2
Withdrawn: ESLint dependencies are vulnerable (ReDoS and Prototype Pollution),minimist,https://github.com//advisories/GHSA-7fhm-mqm4-2wp7,,"< 5.7.4>= 6.0.0, < 6.4.1>= 7.0.0, < 7.1.1< 1.2.2"
Incorrect Account Used for Signing,eth-ledger-bridge-keyring,https://github.com//advisories/GHSA-vg44-fw64-cpjx,,< 0.2.2< 0.2.1
Open Redirect in ecstatic,ecstatic,https://github.com//advisories/GHSA-9q64-mpxx-87fg,,"< 2.2.2>= 3.0.0, < 3.3.2>= 4.0.0, < 4.1.2"
Regular Expression Denial of Service in Acorn,acorn,https://github.com//advisories/GHSA-6chw-6frg-f759,,">= 6.0.0, < 6.4.1>= 7.0.0, < 7.1.1>= 5.5.0, < 5.7.4"
Machine-In-The-Middle in https-proxy-agent,https-proxy-agent,https://github.com//advisories/GHSA-pc5p-h8pf-mvwp,,< 2.2.3
False-negative validation results in MINT transactions with invalid baton,slpjs,https://github.com//advisories/GHSA-jc83-cpf9-q7c6,CVE-2020-11071,< 0.27.2
Regular Expression Denial of Service in websocket-extensions (NPM package),websocket-extensions,https://github.com//advisories/GHSA-g78m-2chm-r7qv,CVE-2020-7662,< 0.1.4
Introspection in schema validation in Apollo Server,apollo-server-micro,https://github.com//advisories/GHSA-w42g-7vfc-xf37,,< 2.14.2< 2.14.2< 2.14.2< 2.14.2< 2.14.2< 2.14.2< 2.14.2< 2.14.2< 2.14.2< 2.14.2< 2.14.2< 2.14.2
Log Forging in generator-jhipster-kotlin,generator-jhipster-kotlin,https://github.com//advisories/GHSA-pfxf-wh96-fvjc,CVE-2020-4072,= 1.6.0
ECDSA signature vulnerability of Minerva timing attack in jsrsasign,jsrsasign,https://github.com//advisories/GHSA-g753-jx37-7xwh,,">= 4.0.0, < 8.0.13"
Sensitive information exposure through logs in npm-registry-fetch,npm-registry-fetch,https://github.com//advisories/GHSA-jmqm-f2gx-4fjv,,"< 4.0.5>= 5.0.0, < 8.1.1"
Command Injection in standard-version,standard-version,https://github.com//advisories/GHSA-7xcx-6wjh-7xp2,,< 8.0.1
Storing Password in Local Storage,parse,https://github.com//advisories/GHSA-wvh7-5p38-2qfc,,< 2.10.0
Command Injection in git-tags-remote,git-tags-remote,https://github.com//advisories/GHSA-gm9x-q798-hmr4,,< 1.0.4
CSRF Vulnerability in polaris-website,polaris-website,https://github.com//advisories/GHSA-whrh-9j4q-g7ph,,< 1.1.1
XSS via JQLite DOM manipulation functions in AngularJS,angular,https://github.com//advisories/GHSA-5cp4-xmrw-59wf,,< 1.8.0
Cross-site scripting vulnerability in TinyMCE,tinymce,https://github.com//advisories/GHSA-vrv8-v4w8-f95h,,"< 4.9.11>= 5.0.0, < 5.4.1"
Cross-Site Scripting in @progress/kendo-angular-editor,@progress/kendo-angular-editor,https://github.com//advisories/GHSA-j7wp-vjj6-cp5m,,< 1.2.3
Cross-Site Scripting in highcharts,highcharts,https://github.com//advisories/GHSA-gr4j-r575-g665,,"< 7.2.2>= 8.0.0, < 8.1.1"
Server secret was included in static assets and served to clients,flood,https://github.com//advisories/GHSA-r587-7jh2-4qr3,,< 3.0.0
Unauthenticated Remote Command Injection in ep_imageconvert,ep_imageconvert,https://github.com//advisories/GHSA-28gr-86hg-r48w,CVE-2013-3364,<= 0.0.2
CSRF Vulnerability in jquery-ujs,jquery-ujs,https://github.com//advisories/GHSA-6qqj-rx4w-r3cj,,<= 1.0.3
Cross-Site Scripting in dojo,dojo,https://github.com//advisories/GHSA-39cx-xcwj-3rc4,CVE-2008-6681,<= 1.0
Cross-Site Scripting in swagger-ui,swagger-ui,https://github.com//advisories/GHSA-7f59-x49p-v8mq,CVE-2016-1000226,< 2.2.1
Cross-Site Scripting in swagger-ui,swagger-ui,https://github.com//advisories/GHSA-mrx7-8hxf-f853,CVE-2016-1000233,< 2.2.1
Cross-Site Scripting in swagger-ui,swagger-ui,https://github.com//advisories/GHSA-g336-c7wv-8hp3,,< 2.2.1
Local Privilege Escalation in npm,npm,https://github.com//advisories/GHSA-v3jv-wrf4-5845,CVE-2013-4116,< 1.3.3
XSS via Angular Expression in ag-grid,ag-grid,https://github.com//advisories/GHSA-wfw3-rgfr-6g67,CVE-2017-16009,>= 0.0.0
Cross-Site Scripting in jquery,org.webjars.npm:jquery,https://github.com//advisories/GHSA-2pqj-h3vj-pqgw,CVE-2012-6708,">= 1.7.1, <= 1.8.3>= 1.7.1, <= 1.8.3"
Cross-Site Scripting in yui,yui,https://github.com//advisories/GHSA-mj87-8xf8-fp4w,CVE-2013-4939,< 3.10.2
Directory Traversal in weather.swlyons,weather.swlyons,https://github.com//advisories/GHSA-2r4h-2ghh-5hpx,CVE-2017-16110,>= 0.0.0
Directory Traversal in wenluhong1,wenluhong1,https://github.com//advisories/GHSA-224h-p7p5-rh85,,>= 0.0.0
Directory Traversal in nodeload-nmickuli,nodeload-nmickuli,https://github.com//advisories/GHSA-wmcq-3wfx-qjx5,,>= 0.0.0
Directory Traversal in dmmcquay.lab6,dmmcquay.lab6,https://github.com//advisories/GHSA-ccw5-7vfh-p5hm,CVE-2017-16208,>= 0.0.0
Directory Traversal in 360class.jansenhm,360class.jansenhm,https://github.com//advisories/GHSA-25jw-gcfj-283j,CVE-2017-16186,>= 0.0.0
Directory Traversal in yjmyjmyjm,yjmyjmyjm,https://github.com//advisories/GHSA-g376-whg7-896m,,>= 0.0.0
Directory Traversal in section2.madisonjbrooks12,section2.madisonjbrooks12,https://github.com//advisories/GHSA-h372-w3xp-2jg3,CVE-2017-16172,>= 0.0.0
Hijacked Environment Variables in cross-env.js,cross-env.js,https://github.com//advisories/GHSA-hwhq-3hrj-v6v5,CVE-2017-16081,>= 0.0.0
Silently Runs Cryptocoin Miner in hooka-tools,hooka-tools,https://github.com//advisories/GHSA-m36m-x4c5-rjxj,,>= 0.0.0
Directory Traversal in featurebook,featurebook,https://github.com//advisories/GHSA-7x92-2j68-h32c,,>= 0
Directory Traversal in @vivaxy/here,@vivaxy/here,https://github.com//advisories/GHSA-m4vv-p6fq-jhqp,,<= 3.2.1
Reflected Cross-Site Scripting in redis-commander,redis-commander,https://github.com//advisories/GHSA-8c8c-4vfj-rrpc,,>= 0.0.0
Cross-Site Scripting in mrk.js,mrk.js,https://github.com//advisories/GHSA-hpr5-wp7c-hh5q,,< 2.0.1
Byass due to validation before canonicalization in serve,serve,https://github.com//advisories/GHSA-wm7q-rxch-43mx,,< 6.5.2
Remote Memory Exposure in mongoose,mongoose,https://github.com//advisories/GHSA-r5xw-q988-826m,,">= 3.5.5, <= 3.8.38>= 4.0.0, <= 4.3.5"
Remote Memory Exposure in openwhisk,openwhisk,https://github.com//advisories/GHSA-53mj-mc38-q894,,< 3.3.1
Malicious Package in @impala/bmap,@impala/bmap,https://github.com//advisories/GHSA-c82c-8pjw-6829,,= 1.0.3
Malicious Package in angular-bmap,angular-bmap,https://github.com//advisories/GHSA-w8hg-mxvh-9h57,,= 0.0.9
Malicious Package in angular-material-sidenav-rnd,angular-material-sidenav-rnd,https://github.com//advisories/GHSA-qmxf-fxq7-w59f,,= 0.1.1
Malicious Package in another-date-picker,another-date-picker,https://github.com//advisories/GHSA-2p62-c4rm-mr72,,= 2.0.43
Malicious Package in another-date-range-picker,another-date-range-picker,https://github.com//advisories/GHSA-8rxg-9g6f-vq9p,,= 4.1.48
Malicious Package in awesome_react_utility,awesome_react_utility,https://github.com//advisories/GHSA-m25q-fwg4-9v2p,,= 1.0.2
Malicious Package in blingjs,blingjs,https://github.com//advisories/GHSA-hfc6-79wv-5hpw,,= 0.0.4
Malicious Package in codify,codify,https://github.com//advisories/GHSA-2q6w-rxf3-4wc9,,= 0.3.1
Malicious Package in coffee-project,coffee-project,https://github.com//advisories/GHSA-3fv6-q5xv-fhpw,,= 1.7.5
Malicious Package in cordova-plugin-china-picker,cordova-plugin-china-picker,https://github.com//advisories/GHSA-x9gm-qxhh-rf75,,= 1.0.910
Malicious Package in css_transform_support,css_transform_support,https://github.com//advisories/GHSA-45cp-hpc9-8347,,= 1.0.2
Malicious Package in css_transform_step,css_transform_step,https://github.com//advisories/GHSA-4rx9-58m7-gr8w,,= 1.0.6
