name,id
jointjs,CVE-2021-23443
edge.js,CVE-2021-39227
zrender,CVE-2019-11004
materialize-css,*
ethers,CVE-2021-3810
code-server,CVE-2021-3803
nth-check,CVE-2021-40823
matrix-js-sdk,*
stylelint,CVE-2021-3795
semver-regex,*
@openzeppelin/contracts,*
@openzeppelin/contracts-upgradeable,CVE-2021-3804
taro,CVE-2021-23442
@cookiex/deep,CVE-2021-3805
object-path,CVE-2021-3794
@vuelidate/validators,CVE-2021-3777
tmpl,CVE-2021-3801
prismjs,*
code-oss-dev,*
accessibility-insights-web,CVE-2021-40823
matrix-js-sdk,*
semver-regex,*
colors-cli,CVE-2021-3807
ansi-regex,CVE-2021-23440
set-value,CVE-2021-3666
body-parser-xml,CVE-2021-3645
@viking04/merge,*
parse-server,CVE-2021-39199
remark-html,*
rebber,*
gun,CVE-2021-3766
objection,CVE-2021-23439
file-upload-with-preview,CVE-2021-34435
@theia/mini-browser,CVE-2021-39187
parse-server,CVE-2021-39109
atlasboard,CVE-2021-23438
mpath,CVE-2021-39176
detect-character-encoding,CVE-2021-3749
axios,CVE-2021-23436
immer,CVE-2021-37701
tar,CVE-2021-37712
tar,CVE-2021-37713
tar,CVE-2021-39134
@npmcli/arborist,CVE-2021-39135
@npmcli/arborist,CVE-2021-39178
next,CVE-2021-39171
passport-saml,CVE-2021-23434
object-path,CVE-2021-39167
@openzeppelin/contracts,CVE-2021-39168
@openzeppelin/contracts-upgradeable,CVE-2021-39157
detect-character-encoding,CVE-2021-39131
ced,CVE-2021-23430
startserver,CVE-2021-23431
joplin,CVE-2021-23429
transpile,CVE-2021-23406
pac-resolver,CVE-2021-23432
mootools,CVE-2021-39138
parse-server,CVE-2021-23426
proto,CVE-2021-32830
@diez/generation,*
string-kit,*
ioredis,CVE-2021-23424
ansi-html,CVE-2021-23425
trim-off-newlines,CVE-2021-32822
hbs,CVE-2021-32809
ckeditor4,CVE-2021-37695
ckeditor4,CVE-2021-32808
ckeditor4,CVE-2021-37700
@github/paste-markdown,CVE-2020-22403
express-cart,CVE-2021-37699
next,CVE-2021-37694
@asyncapi/java-spring-cloud-stream-template,CVE-2021-23421
merge-change,CVE-2021-38384
serverless-offline,*
@liquity/contracts,*
@npmcli/git,*
terriajs-server,*
tar,CVE-2021-23419
open-graph,*
think-config,CVE-2021-30568
electron,CVE-2021-30562
electron,CVE-2021-30572
electron,CVE-2021-30573
electron,CVE-2021-30560
electron,CVE-2021-30541
electron,CVE-2021-30569
electron,CVE-2021-30563
electron,CVE-2021-32804
tar,CVE-2021-32803
tar,CVE-2021-37916
joplin,*
grapesjs,CVE-2021-30483
isomorphic-git,*
acookie,*
vscode-npm-script,*
firebase-extensions,CVE-2021-32796
xmldom,CVE-2021-23416
curly-bracket-parser,CVE-2021-23417
deepmergefn,CVE-2021-3664
url-parse,CVE-2021-23414
video.js,CVE-2021-23413
jszip,CVE-2021-23412
gitlogplus,CVE-2021-39192
ghost,CVE-2021-23411
anchorme,CVE-2021-35065
glob-parent,CVE-2021-28114
froala-editor,*
tui-editor,*
@toast-ui/editor,*
hey-sven,CVE-2021-36755
nightscout,CVE-2021-32770
gatsby-source-wordpress,CVE-2021-3647
urijs,*
urijs,CVE-2020-18145
umeditor,CVE-2021-36383
xo-server,CVE-2021-36383
xo-web,*
wp-calypso,CVE-2021-25953
putil-merge,CVE-2021-25952
just-safe-set,CVE-2021-30523
electron,CVE-2021-30522
electron,CVE-2021-23390
total4,CVE-2021-23389
total.js,*
d3-color,CVE-2021-32738
stellar-sdk,*
jsoneditor,CVE-2021-23402
record-like-deep-assign,CVE-2021-23403
ts-nodash,CVE-2021-30547
electron,CVE-2021-32736
think-helper,CVE-2021-30551
electron,CVE-2021-30544
electron,CVE-2021-30548
electron,*
@toast-ui/editor,CVE-2021-32723
prismjs,CVE-2021-30553
electron,CVE-2021-30554
electron,*
noble,CVE-2021-35513
mermaid,CVE-2021-23400
nodemailer,CVE-2021-23399
wincred,CVE-2021-32702
@auth0/nextjs-auth0,CVE-2021-36716
is-email,*
@backstage/techdocs-common,CVE-2021-41097
aurelia-path,*
find-process,CVE-2021-23398
react-bootstrap-table,CVE-2021-21422
mongo-express,CVE-2021-32696
striptags,*
@apollo/client,CVE-2021-23397
@ianwalter/merge,CVE-2021-32013
xlsx,CVE-2021-32012
xlsx,CVE-2021-23396
lutils,CVE-2021-32014
xlsx,CVE-2021-32691
@apollosproject/data-connector-rock,CVE-2021-32659
matrix-appservice-bridge,CVE-2021-34801
valine,CVE-2021-24037
hermes-engine,CVE-2021-32685
tenvoy,CVE-2021-32684
@scandipwa/magento-scripts,CVE-2021-23395
nedb,CVE-2019-10260
total.js,CVE-2021-33829
ckeditor4,CVE-2021-25948
expand-hash,CVE-2021-25949
set-getter,CVE-2021-32673
reg-keygen-git-hash-plugin,CVE-2021-23327
apexcharts,*
nestie,CVE-2021-23391
calipso,*
polished,CVE-2021-32641
auth0-lock,CVE-2021-23392
locutus,CVE-2021-25947
nestie,CVE-2021-32662
@backstage/techdocs-common,CVE-2021-32661
@backstage/plugin-techdocs,CVE-2021-32660
@backstage/techdocs-common,CVE-2021-30508
electron,CVE-2021-30510
electron,CVE-2021-30512
electron,CVE-2021-30513
electron,CVE-2021-30515
electron,CVE-2021-30516
electron,CVE-2021-30518
electron,*
@aws-crypto/decrypt-node,*
@aws-crypto/decrypt-browser,CVE-2020-1920
react-native,*
layui,*
layui-src,CVE-2021-23388
forms,CVE-2021-33623
trim-newlines,*
tinymce,CVE-2021-33587
css-what,*
@floffah/build,*
node-static,*
node-static,*
json-ptr,CVE-2021-25945
js-extend,CVE-2021-25946
nconf-toml,CVE-2021-32640
ws,CVE-2021-32624
@keystonejs/keystone,CVE-2021-29300
@ronomon/opened,CVE-2021-33502
normalize-url,CVE-2021-23386
dns-packet,CVE-2021-32622
matrix-react-sdk,CVE-2021-33041
vmd,CVE-2020-8176
@shopify/koa-shopify-auth,CVE-2021-32817
express-hbs,CVE-2021-32818
haml-coffee,CVE-2021-32819
squirrelly,CVE-2021-23384
koa-remove-trailing-slashes,CVE-2021-23387
trailing-slash,CVE-2019-10062
aurelia-templating-resources,CVE-2021-29624
fastify-csrf,CVE-2021-25943
101,CVE-2021-25941
deep-override,*
vconsole,CVE-2021-28128
strapi,CVE-2020-8136
fastify-multipart,CVE-2021-26543
git-parse,CVE-2021-20085
backbone-query-parameters,*
frappe-charts,CVE-2021-29489
highcharts,CVE-2021-23367
is-svg,CVE-2021-22204
exiftool-vendored.pl,CVE-2021-22204
exiftool-vendored.exe,CVE-2021-23383
handlebars,CVE-2021-23343
path-parse,*
ngx-markdown-editor,CVE-2021-28860
mixme,CVE-2021-29369
@rkesters/gnuplot,CVE-2021-29486
cumulative-distribution-function,CVE-2021-21233
electron,CVE-2021-21231
electron,CVE-2021-21223
electron,CVE-2021-21226
electron,CVE-2021-29484
ghost,*
cypress,*
confidence,CVE-2021-21223
electron,*
domify,CVE-2021-21222
electron,CVE-2021-21198
electron,CVE-2021-21202
electron,CVE-2021-21206
electron,CVE-2021-21225
electron,CVE-2021-23364
browserslist,CVE-2021-25927
safe-flat,CVE-2021-25928
safe-obj,*
vconsole,CVE-2021-31712
react-draft-wysiwyg,CVE-2017-18924
oauth2-server,*
validator,CVE-2021-3765
validator,*
validator,*
dustjs-linkedin,*
validator,CVE-2021-20089
purl,CVE-2021-29469
redis,CVE-2021-31597
xmlhttprequest-ssl,CVE-2021-20086
jquery-bbq,CVE-2021-20083
jquery-query-object,CVE-2021-20087
jquery-deparam,CVE-2021-20088
mootools-more,CVE-2021-23382
postcss,CVE-2021-21194
electron,CVE-2021-21199
electron,CVE-2021-21195
electron,CVE-2021-29445
jose-node-esm-runtime,CVE-2021-29444
jose-browser-runtime,CVE-2021-29452
@curveball/a12n-server,*
meteor,CVE-2021-23376
ffmpegdotjs,CVE-2021-23377
onion-oled-js,CVE-2021-23375
psnode,CVE-2021-23374
ps-visitor,CVE-2021-23381
killing,*
editor.md,CVE-2021-23380
roar-pidusage,CVE-2021-23378
picotts,CVE-2021-23379
portkiller,CVE-2021-29446
jose-node-cjs-runtime,CVE-2021-29443
jose,CVE-2021-27290
ssri,CVE-2021-28458
@azure/ms-rest-nodeauth,CVE-2021-29438
@nextcloud/dialogs,CVE-2019-17636
@theia/mini-browser,CVE-2020-8128
jsreport,CVE-2021-23373
set-deep-prop,*
web-browserify,CVE-2021-23372
mongo-express,CVE-2021-23368
postcss,*
shvl,CVE-2021-23371
chrono-node,CVE-2021-23370
swiper,*
systeminformation,CVE-2021-30246
jsrsasign,CVE-2021-21423
projen,CVE-2021-20334
mongodb-js-metrics,CVE-2021-21388
systeminformation,CVE-2021-21414
@prisma/sdk,CVE-2021-21391
@ckeditor/ckeditor5-widget,CVE-2021-21391
@ckeditor/ckeditor5-paste-from-office,CVE-2021-21391
@ckeditor/ckeditor5-media-embed,CVE-2021-21391
@ckeditor/ckeditor5-markdown-gfm,CVE-2021-21391
@ckeditor/ckeditor5-list,CVE-2021-21391
@ckeditor/ckeditor5-image,CVE-2021-21391
@ckeditor/ckeditor5-font,CVE-2021-21391
@ckeditor/ckeditor5-engine,CVE-2021-21413
isolated-vm,CVE-2021-30109
froala-editor,CVE-2021-21421
node-etsy-client,CVE-2021-30074
docsify,CVE-2021-23348
portprocesses,CVE-2021-21412
@thi.ng/egf,*
mquery,CVE-2021-28918
netmask,CVE-2021-23363
kill-by-port,CVE-2021-23358
underscore,CVE-2021-27884
yapi-vendor,CVE-2021-21179
electron,CVE-2021-21175
electron,CVE-2021-21174
electron,CVE-2021-21169
electron,CVE-2021-21166
electron,CVE-2021-21172
electron,*
mongoose,CVE-2021-23362
hosted-git-info,CVE-2020-28503
copy-props,*
json,CVE-2021-23360
killport,*
convict,CVE-2020-28501
es6-crawler-detect,CVE-2021-21267
schema-inspector,CVE-2020-36144
redash,CVE-2021-26275
eslint-fixer,CVE-2021-21384
shescape,CVE-2021-26814
wazuh,CVE-2021-25916
patchmerge,CVE-2021-23359
port-killer,CVE-2021-21193
electron,CVE-2021-21181
electron,CVE-2021-21160
electron,CVE-2021-21165
electron,CVE-2021-21162
electron,*
node-dig,*
@lyngs/digger,*
@lyngs/merge,CVE-2021-23356
kill-process-by-name,CVE-2021-23355
ps-kill,CVE-2021-28161
@wiptheia/core,CVE-2021-28092
is-svg,*
plain-object-merge,CVE-2021-21368
msgpack5,*
@solid/identity-token-verifier,*
nobelprizeparser,*
highcharts-export-server,CVE-2021-28162
@wiptheia/core,*
mongo-express,CVE-2021-23354
printf,CVE-2021-29060
color-string,*
style-dictionary,CVE-2021-25915
changeset,CVE-2021-21366
xmldom,CVE-2021-24033
react-dev-utils,CVE-2021-23353
jspdf,*
shiba,CVE-2021-1725
botframework-connector,*
moemark,CVE-2021-23352
madge,*
ghost,*
paychex-common-npm,*
paychex-framework,*
paychex-framework-forms,*
paychex-framework-core-ui,*
paychex-app-common-html,*
paychex-framework-approvals,CVE-2021-3377
ansi_up,*
rcenodejs,CVE-2020-28502
xmlhttprequest,CVE-2020-28502
xmlhttprequest-ssl,*
alasql,*
msgpack5,*
radar-cms,CVE-2021-23344
total.js,*
systeminformation,*
amzn,*
zg-rentals,*
lyft-dataset-sdk,*
serverless-slack-app,CVE-2021-21321
fastify-reply-from,CVE-2021-21322
fastify-http-proxy,CVE-2021-21320
matrix-react-sdk,CVE-2021-25914
object-collider,CVE-2021-23346
html-parse-stringify2,CVE-2021-23346
html-parse-stringify,*
prototyped.js,CVE-2021-21353
pug,CVE-2021-21353
pug-code-gen,CVE-2021-21297
@node-red/editor-api,CVE-2021-21297
@node-red/runtime,CVE-2021-21298
@node-red/runtime,*
rfc6902,CVE-2021-20327
mongodb-client-encryption,CVE-2020-27543
restify-paginate,*
nunjucks,CVE-2020-27224
@theia/preview,CVE-2020-28432
theme-core,CVE-2020-28431
wc-cmd,CVE-2020-28429
geojson2kml,CVE-2020-28499
merge,CVE-2020-8902
rendertron,CVE-2021-27516
urijs,CVE-2021-27515
url-parse,*
@stoplight/markdown,CVE-2020-28248
png-img,*
tree-kit,CVE-2021-27405
@progfay/scrapbox-parser,CVE-2021-23342
docsify,CVE-2021-23341
prismjs,*
label-studio,*
admin-lte,*
i18next,*
adm-zip,CVE-2021-23369
handlebars,CVE-2021-23337
lodash.template,CVE-2021-23337
lodash,CVE-2020-28500
lodash,CVE-2021-21315
systeminformation,*
systeminformation,CVE-2021-27191
get-ip-range,CVE-2021-27292
ua-parser-js,CVE-2021-21310
next-auth,CVE-2020-26299
ftp-srv,CVE-2021-23335
is-user-valid,CVE-2021-27185
samba-client,*
@angular/core,CVE-2020-7782
spritesheet-js,CVE-2021-23327
apexcharts,CVE-2020-7785
node-ps,CVE-2020-7786
macfromip,CVE-2021-26539
sanitize-html,CVE-2021-25913
set-or-get,CVE-2021-26541
gitlog,CVE-2021-21306
marked,CVE-2021-21304
dynamoose,CVE-2021-26540
sanitize-html,CVE-2021-3189
slashify,*
highcharts,CVE-2021-26707
merge-deep,CVE-2020-28449
decal,CVE-2020-28450
decal,*
jquerry,*
http-proxy-middelware,*
ngx-markdown-editor,CVE-2021-21118
electron,CVE-2020-16044
electron,CVE-2021-21317
uap-core,CVE-2021-25912
dotty,CVE-2021-21122
electron,*
tui-editor,CVE-2020-28498
elliptic,CVE-2020-7775
freediskspace,CVE-2020-21176
thinkjs,CVE-2021-21277
angular-expressions,*
vue-devtools,CVE-2021-23330
launchpad,CVE-2020-28426
kill-process-on-port,CVE-2021-23329
nested-object-assign,CVE-2021-21254
@ckeditor/ckeditor5-markdown-gfm,CVE-2021-21316
less-openui5,CVE-2021-23328
iniparserjs,CVE-2020-26272
electron,CVE-2020-28496
three,*
ghost,CVE-2020-28495
total.js,CVE-2020-28494
total.js,CVE-2021-26276
config-shield,*
@openzeppelin/contracts,CVE-2021-25864
node-red-contrib-huemagic,CVE-2021-3223
node-red-dashboard,CVE-2021-26271
ckeditor4-dev,CVE-2021-21278
rsshub,CVE-2020-28437
heroku-env,CVE-2020-28435
ffmpeg-sdk,CVE-2020-28434
gitblame,CVE-2020-28445
npm-help,CVE-2020-28447
xopen,CVE-2020-28443
sonar-wrapper,CVE-2020-28490
async-git,CVE-2020-28446
ntesseract,CVE-2020-28438
deferred-exec,CVE-2020-28453
npos-tesseract,CVE-2021-21123
electron,CVE-2021-21119
electron,CVE-2021-21120
electron,CVE-2020-28487
vis-timeline,CVE-2021-3190
async-git,CVE-2020-28433
node-latex-pdf,*
lycwed-spritesheetjs,CVE-2020-28423
monorepo-build,CVE-2020-28422
git-archive,CVE-2020-28424
s3-kilatstorage,CVE-2020-28425
curljs,CVE-2020-7795
get-npm-package-version,*
sonatype,*
an0n-chat-lib,*
discord-fix,*
ejs,CVE-2021-23326
@graphql-tools/git-loader,CVE-2020-28479
jointjs,CVE-2020-28480
jointjs,CVE-2020-28482
fastify-csrf,CVE-2020-28478
gsap,CVE-2020-28477
immer,CVE-2021-21252
jquery-validation,*
arpping,*
curling,*
imagickal,*
dy-server2,CVE-2020-28472
@aws-sdk/shared-ini-file-loader,CVE-2020-28472
aws-sdk,CVE-2020-28471
properties-reader,CVE-2020-16037
electron,CVE-2020-16041
electron,CVE-2020-28469
glob-parent,CVE-2020-24025
node-sass,CVE-2020-36048
engine.io,CVE-2020-36049
socket.io-parser,CVE-2020-7794
buns,CVE-2020-7784
ts-process-promises,CVE-2020-28481
socket.io,CVE-2020-17150
typescript-tslint-plugin,*
tinymce,CVE-2020-28451
image-tiler,CVE-2020-28470
@scullyio/scully,CVE-2020-28436
google-cloudstorage-commands,CVE-2020-7771
asciitable.js,CVE-2020-28464
djv,CVE-2020-26296
vega,CVE-2020-26291
urijs,CVE-2020-28279
flattenizer,CVE-2020-28283
libnested,CVE-2020-28281
set-object-value,CVE-2020-28280
predefine,CVE-2020-28278
shvl,CVE-2020-28277
dset,CVE-2020-28276
deep-set,CVE-2020-28282
getobject,CVE-2020-28462
ion-parser,CVE-2020-28461
js-ini,*
inireader,*
node-ini,CVE-2020-26288
parse-server,*
semver-regex,CVE-2020-26289
date-and-time,*
doiuse,*
vega,CVE-2020-28448
multi-ini,CVE-2020-15156
nodebb-plugin-blog-comments,*
@sdscoep/web-review,CVE-2020-28460
multi-ini,*
ng-zorro-antd,CVE-2020-28458
datatables.net,CVE-2020-7781
connection-tester,CVE-2020-16042
electron,CVE-2020-28459
markdown-it-decorate,*
frappe-charts,CVE-2020-28455
markdown-it-toc,*
jiff,*
props,CVE-2020-28442
js-data,CVE-2020-26274
systeminformation,CVE-2020-28441
conf-cfg-ini,CVE-2020-7792
mout,CVE-2020-7793
ua-parser-js,CVE-2020-29455
liveaddress,CVE-2020-35149
mquery,CVE-2020-35149
rxdb,CVE-2020-16023
electron,CVE-2020-16040
electron,*
mavon-editor,CVE-2020-7789
node-notifier,CVE-2020-28439
corenlp-js-prefab,CVE-2020-28440
corenlp-js-interface,CVE-2020-7788
ini,CVE-2020-28274
deepref,CVE-2020-26256
@fast-csv/parse,CVE-2020-26256
fast-csv,CVE-2020-7787
react-adal,*
ckeditor4-dev,*
highlight.js,*
html-purify,CVE-2020-28272
keyget,CVE-2020-28273
set-in,CVE-2020-11990
cordova-plugin-camera,CVE-2020-16013
electron,*
markdown-it-texmath,*
netlify-cms-widget-markdown,CVE-2020-26245
systeminformation,*
ts-dot-prop,*
last-commit-log,CVE-2020-7778
systeminformation,CVE-2020-26237
highlight.js,CVE-2020-28360
private-ip,CVE-2020-7777
jsen,CVE-2020-20739
libvips,CVE-2020-7779
djvalidator,CVE-2020-26226
semantic-release,*
tui-editor,CVE-2020-16017
electron,CVE-2020-16022
electron,CVE-2020-16015
electron,CVE-2020-16024
electron,CVE-2020-16014
electron,*
objnest,*
expressjs-ip-control,*
zenn-cli,*
markdown-it-prism,CVE-2020-7773
markdown-it-highlightjs,CVE-2020-28268
controlled-merge,*
merge,CVE-2020-7772
doc-path,*
handsontable,CVE-2020-28270
object-hierarchy-access,CVE-2020-28269
field,CVE-2020-28271
deephas,CVE-2020-7769
nodemailer,CVE-2020-28249
@joplin/renderer,CVE-2020-28249
@joplin/lib,CVE-2020-28249
joplin,CVE-2020-7767
express-validators,CVE-2020-7768
@grpc/grpc-js,CVE-2020-7768
grpc,CVE-2020-28267
@strikeentco/set,*
node-downloader-helper,*
wsbd.js,*
ac-addon,*
xpc.js,*
discord.app,*
db-json.js,*
jdb.js,CVE-2020-8268
json8-merge-patch,*
discord.dll,CVE-2020-7766
json-ptr,CVE-2020-7774
y18n,CVE-2020-7765
@firebase/util,CVE-2020-7764
find-my-way,CVE-2020-28196
node-krb5,CVE-2020-28196
krb5,CVE-2020-28168
axios,CVE-2020-7762
jsreport-chrome-pdf,CVE-2020-7761
@absolunet/kafe,CVE-2020-7763
phantom-html-to-pdf,CVE-2020-7770
json8,*
twilio-npm,*
dompurify,CVE-2020-7760
codemirror,CVE-2020-27664
strapi,CVE-2020-7758
browserless-chrome,CVE-2020-7757
droppy,*
gfc,*
xml-crypto,CVE-2020-26300
systeminformation,CVE-2020-7755
dat.gui,*
nested-property,*
http-live-simulator,*
grapesjs,*
create-git,CVE-2020-7753
trim,CVE-2020-7752
systeminformation,*
jstoxml,*
mountebank,CVE-2020-7751
pathval,*
locutus,CVE-2020-27665
strapi-plugin-content-type-builder,CVE-2020-27666
strapi-plugin-content-manager,CVE-2020-15270
parse-server,CVE-2020-7750
scratch-svg-renderer,CVE-2020-15999
electron,CVE-2020-1914
hermes-engine,CVE-2020-15262
webpack-subresource-integrity,CVE-2020-7749
osm-static-maps,CVE-2020-7748
@tsed/core,CVE-2020-7747
lightning-server,CVE-2020-7746
chart.js,CVE-2020-7754
npm-user-validate,*
nodetest1010,*
nodetest199,*
npmpubman,*
plutov-slack-client,*
freespace,*
bizcharts,CVE-2020-7743
mathjs,*
summernote,CVE-2020-15242
next,CVE-2020-26870
dompurify,CVE-2020-7742
simpl-schema,CVE-2020-15174
electron,CVE-2020-15215
electron,CVE-2020-7741
hellojs,CVE-2020-7709
json-pointer,CVE-2020-7740
node-pdf-generator,CVE-2020-7739
phantomjs-seo,CVE-2020-24807
socket.io-file,CVE-2020-26523
froala-editor,CVE-2020-15228
@actions/core,*
electorn,*
loadyaml,CVE-2020-7737
safetydance,CVE-2020-7736
bmoor,*
canvas-designer,*
datatables.net,*
amp-html,CVE-2019-20921
bootstrap-select,CVE-2020-26149
nats.ws,*
mountebank,*
mountebank,*
generator-jhipster,*
m-server,CVE-2020-7735
ng-packagr,*
gity,*
snekserve,*
git-lib,*
hnzserver,*
http_server,*
commit-msg,CVE-2020-15930
joplin,CVE-2020-6506
react-native-webview,CVE-2020-7738
shiba,*
@knutkirkhorn/free-space,*
node-idevice,*
heroku-exec-util,*
authmagic-timerange-stateless-core,CVE-2020-7733
ua-parser-js,*
alfred-workflow-nodejs,*
nagibabel,*
renovate,*
flsaba,*
keyd,*
objtools,*
notevil,*
passport-azure-ad,*
trezor-connect,*
joplin,CVE-2020-15168
node-fetch,*
json-logic-js,CVE-2018-17145
bcoin,CVE-2020-24582
zulip,*
personnummer,CVE-2020-24660
node-lemonldap-ng-handler,CVE-2020-1912
hermes-engine,CVE-2020-1913
hermes-engine,*
bitcore-node,*
sanitize-html,*
extend-merge,CVE-2020-8135
@uppy/companion,*
static-server-gx,CVE-2017-16019
gitbook,CVE-2020-7730
bestzip,*
infraserver,CVE-2020-7727
gedi,CVE-2020-7726
safe-object2,CVE-2020-7721
node-oojs,CVE-2020-7724
tiny-conf,CVE-2020-7723
promisehelpers,CVE-2020-7722
nodee-utils,CVE-2020-7725
worksmith,CVE-2020-7717
dot-notes,CVE-2020-7716
deeps,CVE-2020-7715
deep-get-set,CVE-2020-7714
confucious,CVE-2020-7719
locutus,CVE-2020-7718
gammautils,CVE-2020-7713
arr-flatten-unflatten,CVE-2020-7713
arr-flatten-unflatten,*
hangersteak,CVE-2020-7712
json,CVE-2020-1911
hermes-engine,CVE-2020-8244
bl,CVE-2020-13410
aedes,*
fallguys,*
min-http-server,CVE-2020-8237
json-bigint,*
windows-edge,*
meemo-app,*
extra-asciinema,*
cloudron-surfer,*
lodash.set,*
lodash,*
jquery-confirm,CVE-2020-7710
safe-eval,CVE-2020-7729
grunt,CVE-2020-15149
nodebb,*
extra-ffmpeg,CVE-2020-15256
object-path-set,CVE-2020-15256
object-path,CVE-2020-24939
supermixer,*
vboxmanage.js,CVE-2020-15119
auth0-lock,CVE-2020-7704
linux-cmdline,CVE-2020-7706
connie-lang,CVE-2020-7707
property-expr,CVE-2020-7708
irrelon-path,CVE-2020-7708
@irrelon/path,CVE-2020-7708
@irrelon/path,CVE-2020-7702
templ8,CVE-2020-7703
nis-utils,*
jsonpointer,*
bootstrap-switch,*
lodash,CVE-2020-7700
phpjs,CVE-2020-7701
madlib-object-utils,*
buefy,*
@progress/kendo-angular-editor,CVE-2020-12648
tinymce,CVE-2020-17479
jpv,CVE-2020-15138
prismjs,*
wappalyzer,*
polaris-website,CVE-2020-15135
save-server,*
ftp-srv,*
markdown,*
markdown-it-katex,*
is-my-json-valid,*
is-my-json-valid,CVE-2020-15131
slp-validate,CVE-2020-15130
slpjs,CVE-2020-15125
auth0,CVE-2020-7699
express-fileupload,*
git-tags-remote,*
flat,CVE-2020-8192
fastify,CVE-2020-6541
electron,CVE-2020-6532
electron,CVE-2020-6537
electron,*
fastify,*
jingo,*
fast-json-patch,*
marked,CVE-2020-8158
typeorm,*
parse,*
diskstats,*
xps,CVE-2020-15126
parse-server,CVE-2020-7697
mock2easy,CVE-2018-21036
sails-hook-sockets,CVE-2020-15123
codecov,*
express-cart,*
i18next,*
fine-uploader,*
xlsx,*
